"gbif.species","db.species","RLcat.europe","RL.catEU27","endemic.europe","endemic.eu","endemic","eu.assessment","note","check","kingdom","phylum","class","order","family","genus","gbif.species.id","EUSpecies","common.name","excluded","exclusion.reason","Species.Zoo.global","Species.Zoo.EU","Genus.Zoo.Global","NrIndivGlobal","NrIndivEU","MaxPopSizeEU","SecondMaxPopSizeEU","NrZoosGlobal","NrZoosEU","NrSustPopGlobal","NrSustPopEU","SustMetaPopGlobal","SustMetaPopEU","VC.category","perc.target.met.in.PAs.and.N2K","Representation.target.perc","Area.in.EU28.km2","db.subspecies","db.species.merged","TargetAreakm2","ProtectedAreakm2","Gap.km2","EEP","ESB","RLExsitu","RLExsituNeeded","Aark","Aze","ED.score","EDGE","ED.score.related","related.species","EDGE.Species","reason","Bodymass.g","THR_CCH","THR","LevelBreeding"
"Ablepharus budaki","Ablepharus budaki","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Ablepharus",8011236,1,"Snake-Eyed Skink","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,483.58,10,9154.2,NA,"Ablepharus budaki",915.42,4426.788036,0,0,0,0,0,0,0,10.01101931,0,NA,NA,NA,NA,NA,0,0,1
"Ablepharus kitaibelii","Ablepharus kitaibelii","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Ablepharus",9439986,1,"Juniper Skink","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",318.46,10,275621.27,NA,"Ablepharus kitaibelii",27562.127,87774.3496442,0,0,0,0,0,0,0,9.973233631,0,NA,NA,NA,NA,NA,0,0,1
"Acanthis flammea","Acanthis flammea","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Acanthis",5231630,1,"Common Redpoll","0",NA,1,1,0,11,7,3,1,6,3,0,0,0,0,"H",223.56,10,1337681.82,NA,"Carduelis flammea",133768.182,299052.1476792,0,0,0,0,0,0,0,3.324037,0,3.324037,"Acanthis flammea",0,"taxonomy",12.1666666666667,1,0,4
"Acanthodactylus erythrurus","Acanthodactylus erythrurus","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Acanthodactylus",5226733,1,"Spiny-footed Lizard","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"H",296.99,10,486249.46,NA,"Acanthodactylus erythrurus",48624.946,144411.2271254,0,0,0,0,0,0,0,15.02103935,0,NA,NA,NA,NA,NA,1,0,2
"Acanthodactylus schreiberi","Acanthodactylus schreiberi","EN","EN",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Acanthodactylus",5226767,1,"Schreiber's Fringe-fingered Lizard","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,43.43,56.73,9154.2,NA,"Acanthodactylus schreiberi",5193.17766,2255.397057738,2937.780602262,0,0,0,0,0,0,14.51638894,1,NA,NA,NA,NA,NA,1,1,2
"Accipiter brevipes","Accipiter brevipes","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",2480578,1,"Levant Sparrowhawk","0",NA,1,0,0,1,0,NA,NA,1,0,0,0,0,0,"H",397.61,10,156747.42,NA,"Accipiter brevipes",15674.742,62324.3416662,0,0,0,0,0,0,0,8.135965547,0,NA,NA,NA,NA,187.5,1,0,3
"Accipiter gentilis","Accipiter gentilis","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",2480589,1,"Northern Goshawk","0",NA,1,1,0,44,18,5,2,26,11,0,0,0,0,"H",66.89,47.33,14806.97,"arrigonii","Accipiter gentilis",7008.138901,4687.7441108789,2320.3947901211,0,0,0,0,0,0,8.810981474,0,NA,NA,NA,NA,901.666666666667,1,0,4
"Accipiter nisus","Accipiter nisus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",2480637,1,"Eurasian Sparrowhawk","0",NA,1,1,0,14,6,2,1,12,5,0,0,0,0,"H",63.62,100,731.55,"granti","Accipiter nisus",731.55,465.41211,266.13789,0,0,0,0,0,0,6.716942,0,NA,NA,NA,NA,237.5,1,0,4
"Acomys minous","Acomys minous","LC","LC","Yes","Yes","Yes","eu25","added EU endemism myself","found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Muridae","Acomys",2438264,1,"Crete Spiny Mouse","0",NA,1,1,0,30,30,20,10,2,2,0,0,0,0,NA,42.84,58.57,8330.89,NA,"Acomys minous",4879.402273,2090.3359337532,2789.0663392468,0,0,0,0,0,0,5.476796199,0,NA,NA,NA,NA,62.5,0,0,4
"Acrocephalus agricola","Acrocephalus agricola","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493137,1,"Paddyfield Warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",713.78,10,17712.07,NA,"Acrocephalus agricola",1771.207,12642.5213246,0,0,0,0,0,0,0,5.614464,0,NA,NA,NA,NA,9.6,0,0,2
"Acrocephalus arundinaceus","Acrocephalus arundinaceus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493128,1,"Great Reed-warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",338.96,10,2266342.99,NA,"Acrocephalus arundinaceus",226634.299,768199.6198904,0,0,0,0,0,0,0,3.678549,0,NA,NA,NA,NA,30,0,0,2
"Acrocephalus dumetorum","Acrocephalus dumetorum","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493145,1,"Blyth's Reed-warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",102.45,10,410736.79,NA,"Acrocephalus dumetorum",41073.679,42079.9841355,0,0,0,0,0,0,0,6.298932,0,NA,NA,NA,NA,11.2,0,0,2
"Acrocephalus melanopogon","Acrocephalus melanopogon","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493124,1,"Moustached Warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",426.06,10,272600.03,NA,"Acrocephalus melanopogon",27260.003,116143.9687818,0,0,0,0,0,0,0,6.261162,0,NA,NA,NA,NA,10.9,0,0,2
"Acrocephalus paludicola","Acrocephalus paludicola","VU","NT","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493114,1,"Aquatic Warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",524.7,10,159355.54,NA,"Acrocephalus paludicola",15935.554,83613.851838,0,0,0,0,0,0,0,6.821142,1,NA,NA,NA,NA,11.6,0,0,2
"Acrocephalus palustris","Acrocephalus palustris","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493136,1,"Marsh Warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",311.6,10,2150316.61,NA,"Acrocephalus palustris",215031.661,670038.655676,0,0,0,0,0,0,0,6.353201,0,NA,NA,NA,NA,11.5,0,0,2
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493129,1,"Sedge Warbler","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",243.79,10,2592138.52,NA,"Acrocephalus schoenobaenus",259213.852,631937.4497908,0,0,0,0,0,0,0,6.225147,0,NA,NA,NA,NA,11.85,0,0,2
"Acrocephalus scirpaceus","Acrocephalus scirpaceus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Acrocephalidae","Acrocephalus",2493118,1,"Eurasian Reed-warbler","0",NA,1,1,0,8,8,8,0,1,1,0,0,0,0,"L",269.44,10,2978145.9,NA,"Acrocephalus scirpaceus",297814.59,802431.631296,0,0,0,0,0,0,0,4.099275,0,NA,NA,NA,NA,12.3,0,0,4
"Actitis hypoleucos","Actitis hypoleucos","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis",2481800,1,"Common Sandpiper","0",NA,1,1,0,12,5,2,1,6,4,0,0,0,0,"L",317.38,10,3111239.27,NA,"Actitis hypoleucos",311123.927,987445.1195126,0,0,0,0,0,0,0,16.63696638,0,NA,NA,NA,NA,48,0,0,4
"Aegithalos caudatus","Aegithalos caudatus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos",2495000,1,"Long-tailed Tit","0",NA,1,1,0,23,9,4,2,7,4,0,0,0,0,"L",275.64,10,3658362.02,NA,"Aegithalos caudatus",365836.202,1008390.9071928,0,0,0,0,0,0,0,7.871647,0,NA,NA,NA,NA,8.6,0,0,4
"Aegolius funereus","Aegolius funereus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius",5739298,1,"Boreal Owl","0",NA,1,1,0,53,38,6,5,22,17,0,0,0,0,"L",212.21,10,1630651.88,NA,"Aegolius funereus",163065.188,346040.6354548,0,0,0,0,0,0,0,12.37785195,0,NA,NA,NA,NA,140.666666666667,0,0,4
"Aegypius monachus","Aegypius monachus","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aegypius",5229165,1,"Cinereous Vulture","0",NA,1,1,0,252,117,21,7,79,35,0,0,1,1,"H",361.65,10,165144.85,NA,"Aegypius monachus",16514.485,59724.6350025,0,1,0,1,1,0,0,8.955760414,0,NA,NA,NA,NA,9625,1,0,4
"Alauda arvensis","Alauda arvensis","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda",8077224,1,"Eurasian Skylark","0",NA,1,1,0,6,3,2,1,4,2,0,0,0,0,"L",220.65,10,3985560.07,NA,"Alauda arvensis",398556.007,879413.8294455,0,0,0,0,0,0,0,5.2688705,0,NA,NA,NA,NA,37.475,0,0,4
"Alca torda","Alca torda","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca",8277073,1,"Razorbill","0",NA,1,1,0,7,3,1,0,5,3,0,0,0,0,"L",253.76,10,94366.58,NA,"Alca torda",9436.658,23946.4633408,0,0,0,0,0,0,0,9.0783813,0,NA,NA,NA,NA,726,0,0,4
"Alcedo atthis","Alcedo atthis","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Alcedo",2475532,1,"Common Kingfisher","0",NA,1,1,0,8,2,1,0,4,2,0,0,0,0,"L",324.32,10,3271745.53,NA,"Alcedo atthis",327174.553,1061092.5102896,0,0,0,0,0,0,0,7.660836,0,NA,NA,NA,NA,31.4,0,0,4
"Alces alces","Alces alces","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces",2440940,1,"Moose","0",NA,1,1,0,180,137,7,6,61,44,0,0,1,1,NA,188.91,10,1194533.17,NA,"Alces alces",119453.317,225659.2611447,0,0,0,0,0,0,0,7.821398438,0,NA,NA,NA,NA,461900.8,0,0,4
"Alectoris barbara","Alectoris barbara","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris",2474045,1,"Barbary Partridge","0",NA,1,1,0,17,10,4,3,5,4,0,0,0,0,"L",239.44,10,30990.66,NA,"Alectoris barbara",3099.066,7420.4036304,0,0,0,0,0,0,0,6.342478727,0,NA,NA,NA,NA,418.5,0,0,4
"Alectoris chukar","Alectoris chukar","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris",2474029,1,"Chukar","0",NA,1,1,0,291,14,10,3,29,3,1,0,1,0,"H",353.02,10,128352.83,NA,"Alectoris chukar",12835.283,45311.1160466,0,0,0,0,0,0,0,4.47133,0,NA,NA,NA,NA,503.5,1,0,4
"Alectoris graeca","Alectoris graeca","NT","NT","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris",2474055,1,"Rock Partridge","0",NA,1,1,0,53,23,8,7,10,6,0,0,0,0,"L",564.91,10,404883.56,NA,"Alectoris graeca",40488.356,228722.7718796,0,0,0,0,0,0,0,4.776985,0,NA,NA,NA,NA,615,0,0,4
"Alectoris rufa","Alectoris rufa","NT","NT","Yes","Yes*","Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Galliformes","Phasianidae","Alectoris",2474051,1,"Red-legged Partridge","0",NA,1,1,0,59,55,30,12,11,8,0,0,0,0,"L",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4.527649,0,NA,NA,NA,NA,528,0,0,4
"Algyroides fitzingeri","Algyroides fitzingeri","LC","LC","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Algyroides",2469361,1,"Fitzinger's Algyroides","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"L",57.21,31.79,32798.12,NA,"Algyroides fitzingeri",10426.522348,5965.0134352908,4461.5089127092,0,0,0,0,0,0,18.62769418,0,NA,NA,NA,NA,NA,0,0,1
"Algyroides marchi","Algyroides marchi","EN","EN","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Algyroides",2469356,1,"Spanish Algyroides","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"H",125.64,70.66,4486.55,NA,"Algyroides marchi",3170.19623,3983.034543372,0,0,0,0,0,0,0,18.62454889,1,NA,NA,NA,NA,NA,1,1,1
"Algyroides moreoticus","Algyroides moreoticus","NT","NT","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Algyroides",2469367,1,"Greek Algyroides","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"H",50.49,38.97,22708.05,NA,"Algyroides moreoticus",8849.327085,4468.0252452165,4381.3018397835,0,0,0,0,0,0,20.66207372,0,NA,NA,NA,NA,NA,1,0,1
"Algyroides nigropunctatus","Algyroides nigropunctatus","LC","LC","Yes",NA,"Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Algyroides",2469363,1,"Blue-throated Keeled Lizard","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"H",160.68,29.62,36649.93,NA,"Algyroides nigropunctatus",10855.709266,17442.9536486088,0,0,0,0,0,0,0,20.65560543,0,NA,NA,NA,NA,NA,1,0,1
"Alytes cisternasii","Alytes cisternasii","NT","NT","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes",2426610,1,"Iberian Midwife Toad","0",NA,1,1,0,28,28,28,0,1,1,0,0,0,0,"L",342.5,10,203592.6,NA,"Alytes cisternasii",20359.26,69730.4655,0,0,0,0,0,0,0,51.02155971,0,NA,NA,NA,NA,NA,0,0,4
"Alytes dickhilleni","Alytes dickhilleni","VU","VU","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes",2426613,1,"Betic Midwife Toad","0",NA,1,1,0,651,651,651,0,1,1,1,1,1,1,"L",108.32,30.87,34375.53,NA,"Alytes dickhilleni",10611.726111,11494.6217234352,0,0,0,0,0,1,0,36.76543038,1,NA,NA,NA,NA,NA,1,1,4
"Alytes muletensis","Alytes muletensis","VU","VU","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes",2426609,1,"Mallorcan Midwife Toad","0",NA,1,1,0,841,841,661,50,6,6,1,1,1,1,"H",42.71,100,256.62,NA,"Alytes muletensis",256.62,109.602402,147.017598,0,0,1,0,1,0,36.866158,1,NA,NA,NA,NA,NA,1,1,4
"Alytes obstetricans","Alytes obstetricans","LC","LC","Yes",NA,"Yes","eu27","added EU endemism myself","found species on GBIF","Animalia","Chordata","Amphibia","Anura","Alytidae","Alytes",2426612,1,"Common Midwife Toad","0",NA,1,1,0,75,75,40,15,4,4,0,0,0,0,"L",376.62,10,1029551.57,NA,"Alytes obstetricans",102955.157,387749.7122934,0,0,0,1,0,0,0,39.09226377,0,NA,NA,NA,NA,NA,0,0,4
"Anas acuta","Anas acuta","VU","EN",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",2498112,1,"Northern Pintail","0",NA,1,1,0,580,301,31,28,112,53,0,0,1,1,"H",202.63,10,1159292.8,NA,"Anas acuta",115929.28,234907.500064,0,0,0,0,0,0,0,2.166222,0,NA,NA,NA,NA,946.5,1,1,4
"Anas clypeata","Spatula clypeata","LC","NT",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",2498089,1,"Northern Shoveler","0",NA,1,1,0,274,176,17,16,74,43,0,0,1,1,"H",227.68,10,1845801.12,NA,"Anas clypeata",184580.112,420251.9990016,0,0,0,0,0,0,0,1.611244,0,NA,NA,NA,NA,613,1,0,4
"Anas crecca","Anas crecca","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",8214667,1,"Common Teal","0",NA,1,1,0,260,135,16,11,64,35,0,0,1,1,"H",272.12,10,2428514.03,NA,"Anas crecca",242851.403,660847.2378436,0,0,0,0,0,0,0,3.064888,0,NA,NA,NA,NA,343.833333333333,1,0,4
"Anas penelope","Mareca penelope","LC","VU",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",2498111,1,"Eurasian Wigeon","0",NA,1,1,0,287,185,16,15,60,46,0,0,1,1,"H",228.13,10,1112800.85,NA,"Anas penelope",111280.085,253863.2579105,0,0,0,0,0,0,0,2.577578,0,NA,NA,NA,NA,771.5,1,1,4
"Anas platyrhynchos","Anas platyrhynchos","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",9761484,1,"Mallard","0",NA,1,1,0,3569,1310,261,82,249,110,3,1,1,1,"H",302.37,10,4037903.38,NA,"Anas platyrhynchos",403790.338,1220940.8450106,0,0,0,0,0,0,0,1.180631,0,NA,NA,NA,NA,1141,1,0,4
"Anas querquedula","Spatula querquedula","LC","VU",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",2498083,1,"Garganey","0",NA,1,1,0,180,129,13,11,39,32,0,0,1,1,"L",302.13,10,2373524.67,NA,"Anas querquedula",237352.467,717113.0085471,0,0,0,0,0,0,0,3.436590326,0,NA,NA,NA,NA,326,1,1,4
"Anas strepera","Mareca strepera","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",2498151,1,"Gadwall","0",NA,1,1,0,147,69,11,9,31,17,0,0,1,0,"H",313.47,10,1287146.9,NA,"Anas strepera",128714.69,403481.938743,0,0,0,0,0,0,0,2.499413,0,NA,NA,NA,NA,917,1,0,4
"Anatololacerta anatolica","Anatololacerta oertzeni","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Anatololacerta",5789536,1,"Anatolian Rock Lizard","0",NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,"H",399.28,10,1738.28,NA,"Anatolacerta anatolica, Anatolacerta oertzeni",173.828,694.0604384,0,0,0,0,0,0,0,15.71711607,0,15.71711607,"Anatololacerta anatolica",0,"taxonomy",NA,1,0,1
"Anguis cephallonica","Anguis cephalonnica","NT","NT","Yes","Yes","Yes","eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Anguidae","Anguis",2468088,1,"Peloponnese Slow Worm","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",51.05,38.79,22915.32,NA,"Anguis cephallonica",8888.852628,4537.759266594,4351.093361406,0,0,0,0,0,0,9.279481882,0,NA,NA,NA,NA,NA,0,0,2
"Anguis fragilis","Anguis fragilis","LC","LC",NA,NA,NA,"eu27",NA,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Anguidae","Anguis",2468095,1,"Slow Worm","0",NA,1,1,0,25,24,5,4,9,8,0,0,0,0,"H",273.88,10,3325599.52,NA,"Anguis fragilis",332559.952,910815.1965376,0,0,0,0,0,0,0,8.143935075,0,NA,NA,NA,NA,NA,1,0,4
"Anser albifrons","Anser albifrons","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser",2498017,1,"Greater White-fronted Goose","0",NA,1,1,0,128,78,20,19,28,13,0,0,1,0,"H",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2.298724151,0,NA,NA,NA,NA,2530.75,1,0,4
"Anser anser","Anser anser","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser",2498036,1,"Greylag Goose","0",NA,1,1,0,1142,539,36,31,175,93,0,0,1,1,"H",324.99,10,1153643.1,NA,"Anser anser",115364.31,374922.471069,0,0,0,0,0,0,0,1.907897095,0,NA,NA,NA,NA,3308.5,1,0,4
"Anser brachyrhynchus","Anser brachyrhynchus","LC","LC","Yes","Yes","Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser",2498024,1,"Pink-footed Goose","0",NA,1,1,0,38,19,9,4,9,6,0,0,0,0,"H",201.33,10,1916.2,NA,"Anser brachyrhynchus",191.62,385.788546,0,0,0,0,0,0,0,2.03211871,0,NA,NA,NA,NA,2645,1,0,4
"Anser erythropus","Anser erythropus","VU","CR",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser",2498026,1,"Lesser White-fronted Goose","0",NA,1,1,0,240,147,44,16,43,28,0,0,1,1,"H",609.64,10,55974.09,NA,"Anser erythropus",5597.409,34124.0442276,0,0,0,1,1,0,0,2.0280595,0,NA,NA,NA,NA,1761,1,1,4
"Anser fabalis","Anser fabalis","LC","VU",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser",2498027,1,"Bean Goose","0",NA,1,1,0,28,17,7,5,12,7,0,0,0,0,"H",194.8,10,442449.53,NA,"Anser fabalis",44244.953,86189.168444,0,0,0,0,0,0,0,2.212216959,0,NA,NA,NA,NA,2770.75,1,1,4
"Anthus berthelotii","Anthus berthelotii","LC","LC","Yes","Yes","Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus",2490270,1,"Berthelot's Pipit","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",90.28,58.42,8396.51,NA,"Anthus berthelotii",4905.241142,4428.4517029976,476.7894390024,0,0,0,0,0,0,4.423224,0,NA,NA,NA,NA,15.9,0,0,2
"Anthus campestris","Anthus campestris","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus",2490274,1,"Tawny Pipit","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",248.18,10,1943568.32,NA,"Anthus campestris",194356.832,482354.7856576,0,0,0,0,0,0,0,4.408717,0,NA,NA,NA,NA,23,0,0,2
"Anthus cervinus","Anthus cervinus","LC","EN",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus",2490283,1,"Red-throated Pipit","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",561.86,10,122512.76,NA,"Anthus cervinus",12251.276,68835.0193336,0,0,0,0,0,0,0,6.155767,0,NA,NA,NA,NA,20.9,1,1,2
"Anthus petrosus","Anthus petrosus","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus",2490275,1,"Rock Pipit","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",90.57,10,193815.95,NA,"Anthus petrosus",19381.595,17553.9105915,1827.6844085,0,0,0,0,0,0,3.817173,0,NA,NA,NA,NA,22.4,0,0,2
"Anthus pratensis","Anthus pratensis","LC","LC","Yes",NA,"Yes","eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus",2490266,1,"Meadow Pipit","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",232.51,10,2436783.86,NA,"Anthus pratensis",243678.386,566576.6152886,0,0,0,0,0,0,0,4.860394,0,NA,NA,NA,NA,18.4,0,0,2
"Anthus spinoletta","Anthus spinoletta","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus",2490255,1,"Water Pipit","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,"L",481.21,10,685226.27,NA,"Anthus spinoletta",68522.627,329737.7333867,0,0,0,0,0,0,0,3.805327,0,NA,NA,NA,NA,23.9,0,0,2
"Anthus trivialis","Anthus trivialis","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus",2490246,1,"Tree Pipit","0",NA,1,0,0,1,0,NA,NA,1,0,0,0,0,0,"L",285.75,10,3375365.05,NA,"Anthus trivialis",337536.505,964510.5630375,0,0,0,0,0,0,0,6.001927,0,NA,NA,NA,NA,23.4,0,0,3
"Apodemus agrarius","Apodemus agrarius","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Muridae","Apodemus",2437761,1,"Striped Field Mouse","0",NA,1,1,0,11,10,10,0,2,1,0,0,0,0,NA,277.13,10,1381228.87,NA,"Apodemus agrarius",138122.887,382779.9567431,0,0,0,0,0,0,0,7.58173201,0,NA,NA,NA,NA,21.11,0,0,4
"Apodemus alpicola","Apodemus alpicola","LC","LC","Yes",NA,"Yes","eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Muridae","Apodemus",2437769,1,"Alpine Field Mouse","0",NA,1,1,0,3,3,3,0,1,1,0,0,0,0,NA,288.98,11.93,90602.33,NA,"Apodemus alpicola",10808.857969,31235.4377588162,0,0,0,0,0,0,0,5.864380509,0,NA,NA,NA,NA,28.055,0,0,4
