"gbif.species","db.species","RLcat.europe","RL.catEU27","endemic.europe","endemic.eu","endemic","eu.assessment","note","check","kingdom","phylum","class","order","family","genus","gbif.species.id","EUSpecies","common.name","excluded","exclusion.reason","Species.Zoo.global","Species.Zoo.EU","Genus.Zoo.Global","NrIndivGlobal","NrIndivEU","MaxPopSizeEU","SecondMaxPopSizeEU","NrZoosGlobal","NrZoosEU","NrSustPopGlobal","NrSustPopEU","SustMetaPopGlobal","SustMetaPopEU","VC.category","perc.target.met.in.PAs.and.N2K","Representation.target.perc","Area.in.EU28.km2","db.subspecies","db.species.merged","TargetAreakm2","ProtectedAreakm2","Gap.km2","EEP","ESB","RLExsitu","RLExsituNeeded","Aark","Aze","ED.score","EDGE","ED.score.related","related.species","EDGE.Species","reason","Bodymass.g","THR_CCH","THR","LevelBreeding"
"Mergus merganser","Mergus merganser","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus",9537647,1,"Goosander","0",NA,1,1,0,93,69,23,12,22,14,0,0,0,0,"H",229.48,10,1294443.13,NA,"Mergus merganser",129444.313,297048.8094724,0,0,0,0,0,0,0,2.914466,0,NA,NA,NA,NA,1470.5,1,0,4
"Mergus serrator","Mergus serrator","NT","NT",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus",2498375,1,"Red-breasted Merganser","0",NA,1,1,0,29,12,4,3,9,4,0,0,0,0,"L",206.15,10,971869.33,NA,"Mergus serrator",97186.933,200350.8623795,0,0,0,0,0,0,0,3.033222,0,NA,NA,NA,NA,1021.5,0,0,4
"Merops apiaster","Merops apiaster","LC","LC",NA,NA,NA,"eu28",NA,"found species on GBIF","Animalia","Chordata","Aves","Coraciiformes","Meropidae","Merops",2475443,1,"European Bee-eater","0",NA,1,1,0,161,142,37,27,14,12,0,0,1,1,"H",229.66,10,1458025.88,NA,"Merops apiaster",145802.588,334850.2236008,0,0,0,0,0,0,0,5.844693086,0,NA,NA,NA,NA,56.6,1,0,4
"Mesoplodon bidens","Mesoplodon bidens","DD","DD",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon",2440412,1,"Sowerby's Beaked Whale","1","cetacean",0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10.95551547,0,NA,NA,NA,NA,3400000,0,0,1
"Mesoplodon densirostris","Mesoplodon densirostris","DD","DD",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon",2440403,1,"Blainville's Beaked Whale","1","cetacean",0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11.21307379,0,NA,NA,NA,NA,2299999.99,0,0,1
"Mesoplodon europaeus","Mesoplodon europaeus","DD","DD",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon",2440397,1,"Gervais' Beaked Whale","1","cetacean",0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11.83925476,0,NA,NA,NA,NA,5600000.02,0,0,1
"Mesoplodon mirus","Mesoplodon mirus","DD","DD",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Cetacea","Hyperoodontidae","Mesoplodon",2440417,1,"True's Beaked Whale","1","cetacean",0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11.1821905,0,NA,NA,NA,NA,2099999.99,0,0,1
"Micromys minutus","Micromys minutus","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Muridae","Micromys",5219833,1,"Eurasian Harvest Mouse","0",NA,1,1,0,1596,1160,122,60,74,57,1,1,1,1,NA,186.45,10,2847462.3,NA,"Micromys minutus",284746.23,530909.345835,0,0,0,0,0,0,0,9.684793578,0,NA,NA,NA,NA,6.99,0,0,4
"Microtus agrestis","Microtus agrestis","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438616,1,"Field Vole","0",NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,NA,260.45,10,3198451.2,NA,"Microtus agrestis",319845.12,833036.61504,0,0,0,0,0,0,0,6.77320343,0,NA,NA,NA,NA,35.87,0,0,2
"Microtus arvalis","Microtus arvalis","LC","LC",NA,NA,NA,"eu25",NA,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",2438606,1,"Common Vole","0",NA,1,1,0,12,12,12,0,1,1,0,0,0,0,NA,210.47,10,2379663.61,NA,"Microtus arvalis",237966.361,500847.7999967,0,0,0,0,0,0,0,4.577993909,0,NA,NA,NA,NA,26.9,0,0,4
