"gbif.species","class","excluded","exclusion.reason","redlist.eu","endemic.europe.final","vuln.clim.change","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.eu","breeding.expertise","ed.value","ed.value.adjust","cost.captive","cost.wild","overlap.sum","cost.wild.adjust","Ki","Ai","Ii","Gi","ev.wild","ev.zoo","ev.both","ev.nothing","benefit.wild","benefit.zoo","benefit.both","cost.benefit.wild","cost.benefit.zoo","cost.benefit.both","net.strategy","cost.net.strategy","rank1.ben","rank2.ben.ed","rank3.costben","rank4.costben.ed"
"Pipistrellus maderensis","Mammalia",0,NA,"EN","Yes",NA,75.44,0,0,1,0,2,8.096381507,0.0904623632067039,24969.7742163304,172350.983787281,5.21,33080.8030301883,0,0.7544,0.667,0.1,0.4968152,0.33967,0.501847048,0.333,0.1638152,0.00667000000000001,0.168847048,49.519716873411,2.67122960032125,29.0861962117915,"B","W",28,24,36,34
"Plecotus teneriffae","Mammalia",0,NA,"EN","Yes",NA,80.63,0,0,0,0,1,8.034884419,0.089775244905028,27002.9788814798,101565.832821473,6.71,15136.4877528276,0,0.8063,0.667,0.05,0.4621979,0.336335,0.4648869105,0.333,0.1291979,0.00333499999999998,0.1318869105,85.3552700664426,1.23504892354203,31.2977170889547,"B","W",34,31,29,29
"Plecotus sardus","Mammalia",0,NA,"VU","Yes",NA,36.84,0,0,0,0,1,7.820343823,0.087378143273743,27002.9788814798,473614.099806519,25.83,18335.8149363732,0,0.3684,0.1,0.05,0.96316,0.9005,0.9633442,0.9,0.06316,0.000499999999999945,0.0633442,34.4462464412792,0.185164756153209,13.9713024246924,"B","W",44,40,43,40
"Lynx pardinus","Mammalia",0,NA,"CR","Yes",NA,100.9,1,1,0,14,4,8.438658624,0.0942866885363128,277794.918934402,0,30.96,0,0,1,0.999,0.312,0.014986,0.0321688,0.0321688,0.014986,0,0.0171828,0.0171828,0,0.618542630869988,0.618542630869988,"Z","Z",54,57,132,117
"Mustela eversmanii","Mammalia",0,NA,"EN",NA,NA,178.69,1,1,0,5,4,7.452564178,0.0832688734972067,161875.454052064,0,34.99,0,0,1,0.667,0.24,0.336335,0.349008,0.349008,0.336335,0,0.012673,0.012673,0,0.782885834928625,0.782885834928625,"Z","Z",58,65,129,113
"Bison bonasus","Mammalia",0,NA,"VU",NA,NA,93.17,1,1,0,413,4,7.066460983,0.0789548713184357,0,37639.3931832015,40,940.984829580036,0,0.9317,0.1,1,0.916147,0.91,0.916147,0.91,0.00614700000000001,0,0.00614700000000001,65.3251764190868,0,65.3251764190868,"W","W",73,96,33,31
"Sicista subtilis","Mammalia",0,NA,"VU",NA,NA,264.91,0,0,1,0,2,12.84169103,0.143482581340782,31498.911540152,0,49.23,0,0,1,0.1,0.1,0.9,0.901,0.901,0.9,0,0.001,0.001,0,0.317471287452359,0.317471287452359,"Z","Z",134,164,161,139
"Myotis bechsteinii","Mammalia",0,NA,"VU",NA,NA,346.13,0,0,1,0,2,6.443838812,0.0719981990167598,29271.2766944046,0,46.17,0,0,1,0.1,0.1,0.9,0.901,0.901,0.9,0,0.001,0.001,0,0.341631836028238,0.341631836028238,"Z","Z",134,193,151,159
"Myotis capaccinii","Mammalia",0,NA,"VU",NA,NA,360,0,0,1,0,2,4.752073845,0.053095797150838,27814.8203404833,0,41.43,0,0,1,0.1,0.1,0.9,0.901,0.901,0.9,0,0.001,0.001,0,0.35952056772574,0.35952056772574,"Z","Z",134,198,150,164
"Microtus cabrerae","Mammalia",0,NA,"VU","Yes",NA,267.15,0,0,1,0,2,6.758530229,0.0755143042346369,52400.6694399108,0,30.76,0,0,1,0.1,0.1,0.9,0.901,0.901,0.9,0,0.001,0.001,0,0.190837256601603,0.190837256601603,"Z","Z",134,191,166,171
"Lepus castroviejoi","Mammalia",0,NA,"VU","Yes",NA,126.48,0,0,1,0,2,7.775920626,0.0868817947039106,203092.322881692,0,38.59,0,0,1,0.1,0.1,0.9,0.901,0.901,0.9,0,0.001,0.001,0,0.049238690355742,0.049238690355742,"Z","Z",134,186,183,185
"Lepus corsicanus","Mammalia",0,NA,"VU","Yes",NA,154.65,0,0,1,0,2,7.791171588,0.0870521965139665,207349.932706999,0,38.13,0,0,1,0.1,0.1,0.9,0.901,0.901,0.9,0,0.001,0.001,0,0.048227650086247,0.048227650086247,"Z","Z",134,185,184,186
"Barbastella barbastellus","Mammalia",0,NA,"VU",NA,NA,371.37,0,0,0,0,1,11.09934448,0.124015022122905,27999.2900967958,0,42.99,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.178575956130104,0.178575956130104,"Z","Z",138,195,169,161
"Plecotus macrobullaris","Mammalia",0,NA,"VU",NA,NA,342.07,0,0,0,0,1,7.820343823,0.087378143273743,27002.9788814798,0,42.83,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.185164756153209,0.185164756153209,"Z","Z",138,203,167,168
"Crocidura zimmermanni","Mammalia",0,NA,"VU","Yes",NA,126.5,0,0,0,0,1,5.08499668,0.0568156053631285,27354.9331243171,0,23.51,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.182782387998409,0.182782387998409,"Z","Z",138,210,168,173
"Rhinolophus euryale","Mammalia",0,NA,"VU",NA,NA,258.75,0,0,0,0,1,2.820879253,0.0315182039441341,29038.278174042,0,43.55,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.172186517741574,0.172186517741574,"Z","Z",138,216,170,183
"Rhinolophus mehelyi","Mammalia",0,NA,"VU",NA,NA,319.76,0,0,0,0,1,2.817135287,0.0314763719217877,33456.6366893166,0,37.95,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.149447179835505,0.149447179835505,"Z","Z",138,217,173,184
"Gulo gulo","Mammalia",0,NA,"VU",NA,NA,260.32,1,1,0,85,4,13.31488526,0.148769667709497,50925.893853853,0,23.05,0,0,1,0.1,0.88,0.9085,0.9088,0.9088,0.9085,0,0.000300000000000078,0.000300000000000078,0,0.0589091280088313,0.0589091280088313,"Z","Z",139,202,182,175
"Eliomys quercinus","Mammalia",0,NA,"NT","Yes",NA,302.43,1,1,0,49,4,20.25201037,0.22627944547486,34848.8541248984,0,39.07,0,0,1,0.01,0.592,0.99049,0.990592,0.990592,0.99049,0,0.000102000000000046,0.000102000000000046,0,0.029269255062011,0.029269255062011,"Z","Z",146,213,187,180
"Sorex alpinus","Mammalia",0,NA,"NT","Yes",NA,410.43,0,0,1,0,2,15.1228696,0.168970610055866,27686.6065286182,0,45.88,0,0,1,0.01,0.1,0.99,0.9901,0.9901,0.99,0,0.000099999999999989,0.000099999999999989,0,0.0361185470298154,0.0361185470298154,"Z","Z",147,215,185,182
"Arvicola sapidus","Mammalia",0,NA,"NT","Yes",NA,291.94,0,0,1,0,2,7.396006157,0.082636940301676,85290.3058236313,0,34.35,0,0,1,0.01,0.1,0.99,0.9901,0.9901,0.99,0,0.000099999999999989,0.000099999999999989,0,0.0117246619102029,0.0117246619102029,"Z","Z",147,223,195,195
"Galemys pyrenaicus","Mammalia",0,NA,"NT","Yes",NA,376.19,0,0,0,0,1,22.66510626,0.253241410726257,54887.3010663339,0,39.34,0,0,1,0.01,0.05,0.99,0.99005,0.99005,0.99,0,0.0000499999999999945,0.0000499999999999945,0,0.009109575262148,0.009109575262148,"Z","Z",148,220,197,187
"Mustela lutreola","Mammalia",0,NA,"CR",NA,NA,283.43,1,1,0,160,4,7.059374962,0.0788756978994413,0,0,52.35,0,0,1,0.999,1,0.1009,0.1009,0.1009,0.1009,0,0,0,0,0,0,"N","N",149,229,217,228
"Spermophilus citellus","Mammalia",0,NA,"VU","Yes",NA,204.61,1,1,0,717,4,3.740347807,0.0417915956089385,0,0,46.11,0,0,1,0.1,1,0.91,0.91,0.91,0.91,0,0,0,0,0,0,"N","N",149,229,217,228
"Vulpes lagopus","Mammalia",0,NA,"CR",NA,NA,590.81,1,1,0,112,4,3.798256039,0.0424386149608939,0,0,17.82,0,0,1,0.999,1,0.1009,0.1009,0.1009,0.1009,0,0,0,0,0,0,"N","N",149,229,217,228
"Gallotia auaritae","Reptilia",0,NA,"CR","Yes",NA,16.95,0,0,1,0,2,15.0762954,0.0620423679012346,6743000,79905.57927066,3.01,26546.7040766312,0,0.1695,0.999,0.1,0.8306695,0.01099,0.832362805,0.001,0.8296695,0.00999,0.831362805,312.532018138685,0.0148153640812695,1.22809228053535,"B","W",2,2,14,17
"Gallotia bravoana","Reptilia",0,NA,"CR","Yes",NA,55.42,0,0,1,0,2,13.57533144,0.0558655614814815,6743000,4938.600298164,4,1234.650074541,0,0.5542,0.999,0.1,0.4463542,0.01099,0.451890658,0.001,0.4453542,0.00999,0.450890658,3607.12892813429,0.0148153640812695,0.668557192023288,"B","W",7,9,2,2
"Gallotia simonyi","Reptilia",0,NA,"CR","Yes",NA,59.51,0,0,1,0,2,13.91050278,0.0572448674074074,6743000,6496.223042062,3.2,2030.06970064438,0,0.5951,0.999,0.1,0.4054951,0.01099,0.411440149,0.001,0.4044951,0.00999,0.410440149,1992.51828580864,0.0148153640812695,0.608507515546504,"B","W",8,12,4,4
"Gallotia intermedia","Reptilia",0,NA,"CR","Yes",NA,61.1,0,0,1,0,2,14.5666458,0.0599450444444444,6743000,11347.64483372,4.05,2801.8876132642,0,0.611,0.999,0.1,0.389611,0.01099,0.39571489,0.001,0.388611,0.00999,0.39471489,1386.96141187215,0.0148153640812695,0.585126715216439,"B","W",9,11,5,7
"Acanthodactylus schreiberi","Reptilia",0,NA,"EN",NA,NA,43.43,0,0,1,0,2,14.51638894,0.059738226090535,6743000,615564.920714366,14,43968.922908169,0,0.4343,0.667,0.1,0.7103219,0.33967,0.713218681,0.333,0.3773219,0.00667000000000001,0.380218681,85.815588611996,0.00989173958178854,0.560218685717923,"B","W",10,13,28,32
"Podarcis lilfordi","Reptilia",0,NA,"EN","Yes","H",46.31,0,0,1,0,2,13.4610243,0.0553951617283951,6743000,59192.371028336,4.83,12255.149281229,0.3,0.4631,0.667,0.1,0.595096068161,0.240769,0.59914510747939,0.2331,0.361996068161,0.00766900000000001,0.36604510747939,295.382830395598,0.0113732759899155,0.54186718249767,"B","W",11,17,15,20
"Macrovipera schweizeri","Reptilia",0,NA,"EN","Yes","L",52.63,1,1,0,6,4,8.364173192,0.0344204658106996,3393500,30331.719209922,11.46,2646.74687695654,0,0.5263,0.667,0.248,0.6510641526,0.3495416,0.65766374408,0.337002,0.3140621526,0.0125396,0.32066174408,1186.59685719979,0.0369518196552232,0.944192839649451,"B","W",12,34,7,10
"Iberolacerta martinezricai","Reptilia",0,NA,"CR","Yes","H",68.61,0,0,0,0,1,13.23849687,0.0544794109876543,6743000,34359.67028624,14,2454.26216330286,0.3,0.6861,0.999,0.05,0.249834843037,0.0056965,0.253585668821815,0.0007,0.249134843037,0.0049965,0.252885668821815,1015.1109639474,0.00740990656977606,0.374897907529082,"B","W",17,27,8,9
"Podarcis raffoneae","Reptilia",0,NA,"CR","Yes","H",71.54,0,0,1,0,2,12.96628214,0.0533591857613169,6743000,4391.99817186,6,731.99969531,0.3,0.7154,0.999,0.1,0.224081008852,0.010693,0.23184019876348,0.0007,0.223381008852,0.009993,0.23114019876348,3051.65439662374,0.0148198131395521,0.342748197546882,"B","W",19,30,3,3
"Teira dugesii","Reptilia",0,NA,"LC","Yes","H",27.39,1,1,0,1,4,22.90382569,0.0942544267078189,5068210.4,360875.068059011,1,360875.068059011,0.3,0.2739,0.0001,0.208,0.917887055775664,0.706171456,0.919514519535065,0.70023007,0.217656985775664,0.00594138600000005,0.219284449535065,6.0313666706416,0.0117228479701633,0.403906792083461,"B","W",20,16,53,55
"Iberolacerta galani","Reptilia",0,NA,"NT","Yes","H",31.09,0,0,0,0,1,13.23753089,0.0544754357613169,6743000,603388.368646577,15.65,38555.1673256599,0.3,0.3109,0.01,0.05,0.90391097643,0.694535,0.90439142154785,0.693,0.21091097643,0.00153499999999984,0.21139142154785,54.703685928405,0.00227643482129592,0.311715257536146,"B","W",22,32,35,41
"Podarcis pityusensis","Reptilia",0,NA,"NT","Yes","H",34.68,1,1,0,2,4,13.46933911,0.0554293790534979,5068210.4,101440.796938208,3.26,31116.8088767509,0.3,0.3468,0.01,0.216,0.89306710509856,0.6996312,0.895167190008448,0.693614,0.19945310509856,0.00601720000000006,0.201553190008448,64.0981875386273,0.0118724352880063,0.395254475252324,"B","W",23,33,34,36
"Podarcis filfolensis","Reptilia",0,NA,"LC","Yes","H",36.95,0,0,1,0,2,17.12723452,0.0704824465843621,6743000,46744.90129621,6.45,7247.27151879225,0.3,0.3695,0.0001,0.1,0.8891171459075,0.7029307,0.890225974448425,0.69993,0.1891871459075,0.00300069999999997,0.190295974448425,261.046030105172,0.00445009639626274,0.281909635001577,"B","W",26,28,16,19
"Algyroides moreoticus","Reptilia",0,NA,"NT","Yes","H",50.49,0,0,0,0,1,20.66207372,0.0850291099588477,6743000,918031.699697196,23.01,39897.0751715427,0.3,0.5049,0.01,0.05,0.84424577203,0.694535,0.84502454316985,0.693,0.15124577203,0.00153499999999984,0.15202454316985,37.9089874081494,0.00227643482129592,0.22412922013269,"B","W",30,29,41,37
"Iberolacerta aranica","Reptilia",0,NA,"EN","Yes","H",76.2,0,0,0,0,1,13.6948883,0.0563575650205761,6743000,34525.86846436,8.35,4134.83454662994,0.3,0.762,0.667,0.05,0.3793328644,0.2369345,0.382436200078,0.2331,0.1462328644,0.00383449999999999,0.149336200078,353.660739627867,0.00568663799495772,0.221332763817569,"B","W",31,38,12,16
"Hellenolacerta graeca","Reptilia",0,NA,"NT","Yes","H",55.57,1,1,0,1,4,27.07530266,0.111420998600823,5068210.4,799385.961045115,23.12,34575.517346242,0.3,0.5557,0.01,0.208,0.82883074806253,0.6993856,0.832223291794624,0.693307,0.13552374806253,0.00607860000000016,0.138916291794624,39.1964483728138,0.0119935825868637,0.272236174601009,"B","W",32,23,39,35
"Podarcis peloponnesiacus","Reptilia",0,NA,"LC","Yes","H",55.57,1,1,0,2,4,12.25216161,0.0504204181481481,5068210.4,799702.021630222,23.12,34589.1877867743,0.3,0.5557,0.0001,0.216,0.83357720668655,0.706411512,0.836845630282686,0.70053014,0.133047066686551,0.00588137200000005,0.136315490282687,38.4649294186153,0.0116044353644041,0.267138632308721,"B","W",33,39,40,44
"Podarcis carbonelli","Reptilia",0,NA,"EN","Yes","L",89.99,0,0,1,0,2,13.90615883,0.0572269910699588,6743000,108572.090154923,13.63,7965.67059097017,0,0.8999,0.667,0.1,0.3997667,0.33967,0.405769033,0.333,0.0667667000000001,0.00667000000000001,0.0727690330000001,83.8180530283117,0.00989173958178854,0.107790554049181,"B","W",40,46,30,33
"Podarcis gaigeae","Reptilia",0,NA,"VU","Yes","L",31.55,0,0,1,0,2,12.17793039,0.0501149398765432,6743000,34486.78723035,11.75,2935.04572173191,0,0.3155,0.1,0.1,0.96845,0.901,0.9687655,0.9,0.06845,0.001,0.0687655,233.21612843431,0.0014830194275545,0.101936202370657,"B","W",43,50,20,23
"Podarcis milensis","Reptilia",0,NA,"VU","Yes","L",63.55,0,0,1,0,2,12.30051187,0.0506193904115226,6743000,18230.7466341,11.11,1640.93129019802,0,0.6355,0.1,0.1,0.93645,0.901,0.9370855,0.9,0.03645,0.001,0.0370855,222.129958869889,0.0014830194275545,0.0549851361663308,"B","W",50,56,22,24
"Iberolacerta aurelioi","Reptilia",0,NA,"EN","Yes","H",98.39,0,0,0,0,1,14.08076454,0.0579455330864198,6743000,2113.023831464,3.75,563.473021723733,0.3,0.9839,0.667,0.05,0.242277347921,0.2369345,0.246065961181395,0.2331,0.00917734792100006,0.00383449999999999,0.0129659611813951,162.871114803783,0.00568663799495772,0.0192271656272928,"B","W",57,75,23,26
"Dolichophis cypriensis","Reptilia",0,NA,"EN","Yes",NA,115.92,0,0,1,0,2,9.086704185,0.037393844382716,6743000,0,12.02,0,0,1,0.667,0.1,0.333,0.33967,0.33967,0.333,0,0.00667000000000001,0.00667000000000001,0,0.00989173958178854,0.00989173958178854,"Z","Z",70,135,196,205
"Vipera ursinii","Reptilia",0,NA,"VU","Yes","H",142.33,1,1,0,13,4,6.446100574,0.0265271628559671,3393500,0,11.71,0,0.3,1,0.1,0.304,0.63481,0.641248,0.641248,0.63481,0,0.00643800000000005,0.00643800000000005,0,0.0189715632827466,0.0189715632827466,"Z","Z",72,156,188,199
"Archaeolacerta bedriagae","Reptilia",0,NA,"NT","Yes","L",43.99,0,0,0,0,1,25.69284981,0.105731892222222,6743000,700245.535180136,8.5,82381.8276682514,0,0.4399,0.01,0.05,0.995601,0.99005,0.995622995,0.99,0.00560099999999997,0.0000499999999999945,0.00562299499999985,0.67988294973923,0.0000741509713777169,0.00823835961411822,"B","W",81,84,130,108
"Anguis cephallonica","Reptilia",0,NA,"NT","Yes","L",51.05,0,0,1,0,2,9.279481882,0.0381871682386831,6743000,911701.996388845,23.05,39553.2319474553,0,0.5105,0.01,0.1,0.994895,0.9901,0.99494605,0.99,0.00489499999999998,0.000099999999999989,0.00494605000000004,1.23757269861102,0.000148301942755434,0.00729231283685759,"B","W",93,152,70,135
"Lacerta bilineata","Reptilia",0,NA,"LC","Yes","H",191.15,1,1,0,24,4,15.81942482,0.0651005136625514,3393500,0,9.37,0,0.3,1,0.0001,0.392,0.70713168,0.711692744,0.711692744,0.70713168,0,0.004561064,0.004561064,0,0.0134405893620156,0.0134405893620156,"Z","Z",101,121,194,197
"Anguis fragilis","Reptilia",0,NA,"LC",NA,"H",273.88,1,1,0,24,4,8.143935075,0.0335141361111111,3393500,0,5.95,0,0.3,1,0.0001,0.392,0.70713168,0.711692744,0.711692744,0.70713168,0,0.004561064,0.004561064,0,0.0134405893620156,0.0134405893620156,"Z","Z",101,160,194,200
"Vipera aspis","Reptilia",0,NA,"LC","Yes","H",291.25,1,1,0,24,4,7.85296128,0.0323167130864198,3393500,0,9.49,0,0.3,1,0.0001,0.392,0.70713168,0.711692744,0.711692744,0.70713168,0,0.004561064,0.004561064,0,0.0134405893620156,0.0134405893620156,"Z","Z",101,162,194,202
"Algyroides marchi","Reptilia",0,NA,"EN","Yes","H",125.64,0,0,0,0,1,18.62454889,0.0766442341152263,6743000,0,12.32,0,0.3,1,0.667,0.05,0.2331,0.2369345,0.2369345,0.2331,0,0.00383449999999999,0.00383449999999999,0,0.00568663799495772,0.00568663799495772,"Z","Z",106,122,200,201
"Iberolacerta cyreni","Reptilia",0,NA,"EN","Yes","H",139.46,0,0,0,0,1,13.22039709,0.0544049262962963,6743000,0,16.2,0,0.3,1,0.667,0.05,0.2331,0.2369345,0.2369345,0.2331,0,0.00383449999999999,0.00383449999999999,0,0.00568663799495772,0.00568663799495772,"Z","Z",106,145,200,207
"Chalcides bedriagai","Reptilia",0,NA,"NT","Yes","H",306.63,0,0,1,0,2,10.88842692,0.0448083412345679,6743000,0,14.81,0,0.3,1,0.01,0.1,0.693,0.69607,0.69607,0.693,0,0.00307000000000002,0.00307000000000002,0,0.00455286964259234,0.00455286964259234,"Z","Z",110,167,202,211
"Darevskia praticola","Reptilia",0,NA,"NT",NA,"H",361.18,0,0,1,0,2,9.647484038,0.0397015804032922,6743000,0,12.32,0,0.3,1,0.01,0.1,0.693,0.69607,0.69607,0.693,0,0.00307000000000002,0.00307000000000002,0,0.00455286964259234,0.00455286964259234,"Z","Z",110,173,202,213
"Acanthodactylus erythrurus","Reptilia",0,NA,"LC",NA,"H",296.99,0,0,1,0,2,15.02103935,0.0618149767489712,6743000,0,15.49,0,0.3,1,0.0001,0.1,0.69993,0.7029307,0.7029307,0.69993,0,0.00300069999999997,0.00300069999999997,0,0.00445009639626274,0.00445009639626274,"Z","Z",111,154,203,209
"Natrix tessellata","Reptilia",0,NA,"LC",NA,"H",346.68,1,1,0,53,4,11.9042302,0.0489886016460905,3393500,0,8.97,0,0.3,1,0.0001,0.624,0.71583371,0.718654368,0.718654368,0.71583371,0,0.00282065799999998,0.00282065799999998,0,0.00831194342124643,0.00831194342124643,"Z","Z",113,166,198,204
"Vipera ammodytes","Reptilia",0,NA,"LC",NA,"H",404.01,1,1,0,60,4,8.26847208,0.0340266340740741,3393500,0,13.93,0,0.3,1,0.0001,0.68,0.7179342,0.72033476,0.72033476,0.7179342,0,0.00240056,0.00240056,0,0.00707399440106084,0.00707399440106084,"Z","Z",114,188,199,210
"Vipera latastei","Reptilia",0,NA,"VU",NA,"L",324.48,1,0,0,0,3,7.290512281,0.0300021081522634,6743000,0,15.51,0,0,1,0.1,0.2,0.9,0.902,0.902,0.9,0,0.00200000000000011,0.00200000000000011,0,0.00296603885510917,0.00296603885510917,"Z","Z",116,196,206,218
"Eremias arguta","Reptilia",0,NA,"VU",NA,"L",216.53,1,1,0,1,4,18.34107466,0.0754776734979424,5068210.4,0,9.22,0,0,1,0.1,0.208,0.9001,0.90208,0.90208,0.9001,0,0.00198000000000009,0.00198000000000009,0,0.00390670442568859,0.00390670442568859,"Z","Z",118,161,204,208
"Iberolacerta horvathi","Reptilia",0,NA,"NT","Yes","H",245.81,0,0,0,0,1,18.65572485,0.0767725302469136,6743000,0,9.65,0,0.3,1,0.01,0.05,0.693,0.694535,0.694535,0.693,0,0.00153499999999984,0.00153499999999984,0,0.00227643482129592,0.00227643482129592,"Z","Z",129,174,208,214
"Iberolacerta bonnali","Reptilia",0,NA,"NT","Yes","H",114.21,0,0,0,0,1,13.70242888,0.0563885962139918,6743000,0,9.1,0,0.3,1,0.01,0.05,0.693,0.694535,0.694535,0.693,0,0.00153499999999984,0.00153499999999984,0,0.00227643482129592,0.00227643482129592,"Z","Z",129,187,208,217
"Algyroides nigropunctatus","Reptilia",0,NA,"LC","Yes","H",160.68,0,0,0,0,1,20.65560543,0.0850024914814815,6743000,0,17.66,0,0.3,1,0.0001,0.05,0.69993,0.70143035,0.70143035,0.69993,0,0.00150035000000004,0.00150035000000004,0,0.00222504819813145,0.00222504819813145,"Z","Z",130,169,209,212
"Psammodromus hispanicus","Reptilia",0,NA,"LC","Yes","H",297.18,0,0,0,0,1,18.57409695,0.076436612962963,6743000,0,14.62,0,0.3,1,0.0001,0.05,0.69993,0.70143035,0.70143035,0.69993,0,0.00150035000000004,0.00150035000000004,0,0.00222504819813145,0.00222504819813145,"Z","Z",130,175,209,215
"Anatololacerta anatolica","Reptilia",0,NA,"LC",NA,"H",399.28,0,0,0,0,1,15.71711607,0.06467949,6743000,0,24.3,0,0.3,1,0.0001,0.05,0.69993,0.70143035,0.70143035,0.69993,0,0.00150035000000004,0.00150035000000004,0,0.00222504819813145,0.00222504819813145,"Z","Z",130,183,209,216
"Macroprotodon cucullatus","Reptilia",0,NA,"LC",NA,"H",825,0,0,0,0,1,6.801908266,0.0279913920411523,6743000,0,7,0,0.3,1,0.0001,0.05,0.69993,0.70143035,0.70143035,0.69993,0,0.00150035000000004,0.00150035000000004,0,0.00222504819813145,0.00222504819813145,"Z","Z",130,204,209,221
"Iberolacerta monticola","Reptilia",0,NA,"VU","Yes","L",113.35,0,0,0,0,1,13.23112252,0.0544490638683128,6743000,0,7.92,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.000741509713777169,0.000741509713777169,"Z","Z",138,211,210,222
"Lacerta schreiberi","Reptilia",0,NA,"NT","Yes","L",316.56,1,1,0,3,4,17.78494531,0.0731890753497942,5068210.4,0,11.73,0,0,1,0.01,0.224,0.99003,0.990224,0.990224,0.99003,0,0.000194000000000139,0.000194000000000139,0,0.000382778110396006,0.000382778110396006,"Z","Z",141,218,214,224
"Elaphe quatuorlineata","Reptilia",0,NA,"NT","Yes","L",324.31,1,1,0,9,4,6.659937471,0.0274071500864198,3393500,0,15.09,0,0,1,0.01,0.272,0.99009,0.990272,0.990272,0.99009,0,0.000182000000000015,0.000182000000000015,0,0.000536319434212511,0.000536319434212511,"Z","Z",143,228,212,226
"Chalcides ocellatus","Reptilia",0,NA,"LC",NA,"H",216.55,1,1,0,245,4,12.45182816,0.0512420911934156,0,0,14.42,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Coronella austriaca","Reptilia",0,NA,"LC",NA,"H",315.6,1,1,0,181,4,7.757303046,0.0319230578024691,0,0,7.45,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Emys orbicularis","Reptilia",0,NA,"VU",NA,"L",368.41,1,1,0,1564,4,13.30941505,0.0547712553497942,0,0,10.52,0,0,1,0.1,1,0.91,0.91,0.91,0.91,0,0,0,0,0,0,"N","N",149,229,217,228
"Mauremys leprosa","Reptilia",0,NA,"VU",NA,"L",260.91,1,1,0,103,4,17.47067466,0.0718957804938272,0,0,13.1,0,0,1,0.1,1,0.91,0.91,0.91,0.91,0,0,0,0,0,0,"N","N",149,229,217,228
"Testudo graeca","Reptilia",0,NA,"VU",NA,"L",313.28,1,1,0,555,4,23.7582789,0.0977706950617284,0,0,15.2,0,0,1,0.1,1,0.91,0.91,0.91,0.91,0,0,0,0,0,0,"N","N",149,229,217,228
"Testudo hermanni","Reptilia",0,NA,"NT","Yes","H",334.96,1,1,0,1786,4,24.23418417,0.099729152962963,0,0,14.18,0,0.3,1,0.01,1,0.7237,0.7237,0.7237,0.7237,0,0,0,0,0,0,"N","N",149,229,217,228
"Testudo marginata","Reptilia",0,NA,"LC","Yes","H",253.82,1,1,0,227,4,22.00254487,0.0905454521399177,0,0,19.86,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Timon lepidus","Reptilia",0,NA,"NT","Yes","L",271.09,1,1,0,130,4,18.80267427,0.0773772603703704,0,0,14.71,0,0,1,0.01,1,0.991,0.991,0.991,0.991,0,0,0,0,0,0,"N","N",149,229,217,228
"Vipera berus","Reptilia",0,NA,"LC","Yes","H",260.77,1,1,0,109,4,6.59643871,0.0271458383127572,0,0,3.69,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Accipiter gentilis","Aves",1,"PA data only available for subspecies","LC",NA,"H",66.89,1,1,0,18,4,8.810981474,NA,51032.5165026865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter nisus","Aves",1,"PA data only available for subspecies","LC",NA,"H",63.62,1,1,0,6,4,6.716942,NA,57725.4280333497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alectoris rufa","Aves",1,"no data on PAs","NT","Yes","L",NA,1,1,0,55,4,4.527649,NA,27856.1777589719,NA,62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anser albifrons","Aves",1,"no data on PAs","LC",NA,"H",NA,1,1,0,78,4,2.298724151,NA,13833.6838238896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apus affinis","Aves",1,"no data on PAs","VU",NA,"L",NA,0,0,1,0,2,5.065527,NA,59987.1472826415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
