"gbif.species","class","excluded","exclusion.reason","redlist.eu","endemic.europe.final","vuln.clim.change","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.eu","breeding.expertise","ed.value","ed.value.adjust","cost.captive","cost.wild","overlap.sum","cost.wild.adjust","Ki","Ai","Ii","Gi","ev.wild","ev.zoo","ev.both","ev.nothing","benefit.wild","benefit.zoo","benefit.both","cost.benefit.wild","cost.benefit.zoo","cost.benefit.both","net.strategy","cost.net.strategy","rank1.ben","rank2.ben.ed","rank3.costben","rank4.costben.ed"
"Lymnocryptes minimus","Aves",0,NA,"LC",NA,"H",182.07,0,0,0,0,1,21.1628693,0.290698754120879,60463.0024368257,0,71.71,0,0.3,1,0.0001,0.05,0.69993,0.70143035,0.70143035,0.69993,0,0.00150035000000004,0.00150035000000004,0,0.248143482713692,0.248143482713692,"Z","Z",130,101,164,107
"Hydrobates pelagicus","Aves",0,NA,"LC","Yes","H",300.8,0,0,0,0,1,12.9118464,0.177360527472527,60047.7415114376,0,38.51,0,0.3,1,0.0001,0.05,0.69993,0.70143035,0.70143035,0.69993,0,0.00150035000000004,0.00150035000000004,0,0.249859522146101,0.249859522146101,"Z","Z",130,132,162,140
"Calcarius lapponicus","Aves",0,NA,"LC",NA,"H",536.6,0,0,0,0,1,9.967025059,0.136909684876374,60107.8126580537,0,57.59,0,0.3,1,0.0001,0.05,0.69993,0.70143035,0.70143035,0.69993,0,0.00150035000000004,0.00150035000000004,0,0.249609815039412,0.249609815039412,"Z","Z",130,147,163,147
"Perisoreus infaustus","Aves",0,NA,"LC",NA,"H",131.09,0,0,0,0,1,7.444107359,0.102254221964286,60777.9568700679,0,67.81,0,0.3,1,0.0001,0.05,0.69993,0.70143035,0.70143035,0.69993,0,0.00150035000000004,0.00150035000000004,0,0.246857590689913,0.246857590689913,"Z","Z",130,158,165,157
"Cygnus olor","Aves",0,NA,"LC",NA,"H",342.38,1,1,0,76,4,5.612907025,0.0771003712225275,15310.9428116738,0,72.03,0,0.3,1,0.0001,0.808,0.72273532,0.724175656,0.724175656,0.72273532,0,0.00144033600000004,0.00144033600000004,0,0.940723257683296,0.940723257683296,"Z","Z",131,176,128,106
"Tetrax tetrax","Aves",0,NA,"EN",NA,"H",207.59,1,1,0,92,4,14.53498307,0.199656360851648,4974.3598416917,0,67.69,0,0.3,1,0.667,0.936,0.3036548,0.30488184,0.30488184,0.3036548,0,0.00122704000000001,0.00122704000000001,0,2.46672946680656,2.46672946680656,"Z","Z",132,136,58,56
"Aquila chrysaetos","Aves",0,NA,"LC",NA,"H",362.43,1,1,0,82,4,8.236421,0.113137651098901,11377.6570756694,0,62.76,0,0.3,1,0.0001,0.856,0.72453574,0.725615992,0.725615992,0.72453574,0,0.00108025199999995,0.00108025199999995,0,0.949450306698044,0.949450306698044,"Z","Z",133,172,125,88
"Tringa stagnatilis","Aves",0,NA,"VU",NA,"L",466.23,0,0,1,0,2,11.13041468,0.152890311538462,60726.1417752176,0,75.78,0,0,1,0.1,0.1,0.9,0.901,0.901,0.9,0,0.001,0.001,0,0.164673725477501,0.164673725477501,"Z","Z",134,159,172,158
"Lanius meridionalis","Aves",0,NA,"VU","Yes","L",263.08,0,0,1,0,2,4.286393,0.0588790247252747,60579.9408671242,0,78.89,0,0,1,0.1,0.1,0.9,0.901,0.901,0.9,0,0.001,0.001,0,0.165071141649576,0.165071141649576,"Z","Z",134,197,171,174
"Aythya marila","Aves",0,NA,"EN",NA,"L",408.56,1,1,0,93,4,1.840623,0.025283282967033,4361.2285851744,0,68.16,0,0,1,0.667,0.944,0.395031,0.3959648,0.3959648,0.395031,0,0.00093380000000004,0.00093380000000004,0,2.14113977692985,2.14113977692985,"Z","Z",135,212,68,128
"Haematopus ostralegus","Aves",0,NA,"VU",NA,"H",266.54,1,1,0,88,4,6.38296,0.087678021978022,7428.03216461775,0,55.5900000000001,0,0.3,1,0.1,0.904,0.66256,0.663448,0.663448,0.66256,0,0.000888,0.000888,0,1.19547139850827,1.19547139850827,"Z","Z",136,190,74,92
"Falco cherrug","Aves",0,NA,"EN",NA,"H",274.76,1,1,0,96,4,3.540804,0.0486374175824176,2491.1073019695,0,85.28,0,0.3,1,0.667,0.968,0.3067224,0.30733592,0.30733592,0.3067224,0,0.000613519999999979,0.000613519999999979,0,2.46284051881235,2.46284051881235,"Z","Z",137,209,59,85
"Oceanodroma leucorhoa","Aves",0,NA,"VU",NA,"L",384.68,0,0,0,0,1,20.874794,0.286741675824176,60277.5895875375,0,36.07,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.0829495677284549,0.0829495677284549,"Z","Z",138,165,177,160
"Clamator glandarius","Aves",0,NA,"VU",NA,"L",263.54,0,0,0,0,1,18.21738316,0.25023877967033,61102.467778539,0,66.1,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.0818297555202115,0.0818297555202115,"Z","Z",138,171,180,162
"Chersophilus duponti","Aves",0,NA,"VU",NA,"L",236.27,0,0,0,0,1,14.70385,0.201975961538462,60316.708560266,0,71.07,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.0828957700005074,0.0828957700005074,"Z","Z",138,180,179,166
"Limicola falcinellus","Aves",0,NA,"VU",NA,"L",335.65,0,0,0,0,1,14.18210823,0.194809178983516,60280.43966446,0,65.71,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.082945645848488,0.082945645848488,"Z","Z",138,182,178,169
"Saxicola rubetra","Aves",0,NA,"VU","Yes","L",255.4,0,0,0,0,1,7.587705991,0.104226730645604,59797.5998995976,0,62,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.083615396076007,0.083615396076007,"Z","Z",138,199,176,176
"Locustella fluviatilis","Aves",0,NA,"VU","Yes","L",327.18,0,0,0,0,1,7.323445,0.100596771978022,59779.3145427406,0,93.6600000000001,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.0836409724374572,0.0836409724374572,"Z","Z",138,200,175,177
"Capella media","Aves",0,NA,"VU",NA,"L",341.36,0,0,0,0,1,7.319355193,0.10054059331044,61206.8340462616,0,74.5,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.0816902242684261,0.0816902242684261,"Z","Z",138,201,181,178
"Locustella naevia","Aves",0,NA,"VU",NA,"L",228.45,0,0,0,0,1,5.538941,0.0760843543956044,59665.2120658926,0,68.04,0,0,1,0.1,0.05,0.9,0.9005,0.9005,0.9,0,0.000499999999999945,0.000499999999999945,0,0.0838009256462139,0.0838009256462139,"Z","Z",138,208,174,181
"Alectoris graeca","Aves",0,NA,"NT","Yes","L",564.91,1,1,0,23,4,4.776985,0.0656179258241758,47737.7722826495,0,49.53,0,0,1,0.01,0.384,0.99023,0.990384,0.990384,0.99023,0,0.000154000000000099,0.000154000000000099,0,0.0322595698618451,0.0322595698618451,"Z","Z",144,221,186,188
"Acrocephalus paludicola","Aves",0,NA,"NT","Yes","L",524.7,0,0,1,0,2,6.821142,0.0936970054945055,59583.6703265606,0,94.22,0,0,1,0.01,0.1,0.99,0.9901,0.9901,0.99,0,0.000099999999999989,0.000099999999999989,0,0.0167831218607243,0.0167831218607243,"Z","Z",147,222,190,190
"Sitta krueperi","Aves",0,NA,"NT","Yes","L",721.35,0,0,1,0,2,5.231083,0.0718555357142857,59623.4207488564,0,23.31,0,0,1,0.01,0.1,0.99,0.9901,0.9901,0.99,0,0.000099999999999989,0.000099999999999989,0,0.0167719326975897,0.0167719326975897,"Z","Z",147,224,191,191
"Emberiza cineracea","Aves",0,NA,"NT","Yes","L",502.06,0,0,1,0,2,4.482544493,0.0615734133653846,60025.9075329645,0,57.37,0,0,1,0.01,0.1,0.99,0.9901,0.9901,0.99,0,0.000099999999999989,0.000099999999999989,0,0.0166594732357977,0.0166594732357977,"Z","Z",147,226,192,194
"Sylvia undata","Aves",0,NA,"NT","Yes","L",261.03,0,0,1,0,2,3.984875,0.054737293956044,59541.1076622734,0,67.83,0,0,1,0.01,0.1,0.99,0.9901,0.9901,0.99,0,0.000099999999999989,0.000099999999999989,0,0.0167951191918036,0.0167951191918036,"Z","Z",147,227,189,196
"Aegypius monachus","Aves",0,NA,"LC",NA,"H",361.65,1,1,0,117,4,8.955760414,0.123018687005495,0,0,79.78,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Anas acuta","Aves",0,NA,"EN",NA,"H",202.63,1,1,0,301,4,2.166222,0.0297557967032967,0,0,76.0000000000001,0,0.3,1,0.667,1,0.30979,0.30979,0.30979,0.30979,0,0,0,0,0,0,"N","N",149,229,217,228
"Anas clypeata","Aves",0,NA,"NT",NA,"H",227.68,1,1,0,176,4,1.611244,0.0221324725274725,0,0,76.2700000000001,0,0.3,1,0.01,1,0.7237,0.7237,0.7237,0.7237,0,0,0,0,0,0,"N","N",149,229,217,228
"Anas crecca","Aves",0,NA,"LC",NA,"H",272.12,1,1,0,135,4,3.064888,0.0421001098901099,0,0,74.15,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Anas penelope","Aves",0,NA,"VU",NA,"H",228.13,1,1,0,185,4,2.577578,0.0354062912087912,0,0,72.5,0,0.3,1,0.1,1,0.667,0.667,0.667,0.667,0,0,0,0,0,0,"N","N",149,229,217,228
"Anas platyrhynchos","Aves",0,NA,"LC",NA,"H",302.37,1,1,0,1310,4,1.180631,0.0162174587912088,0,0,71.45,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Anas querquedula","Aves",0,NA,"VU",NA,"L",302.13,1,1,0,129,4,3.436590326,0.0472059110714286,0,0,74.6900000000001,0,0,1,0.1,1,0.91,0.91,0.91,0.91,0,0,0,0,0,0,"N","N",149,229,217,228
"Anser anser","Aves",0,NA,"LC",NA,"H",324.99,1,1,0,539,4,1.907897095,0.0262073776785714,0,0,71.95,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Anser erythropus","Aves",0,NA,"CR",NA,"H",609.64,1,1,0,147,4,2.0280595,0.0278579601648352,0,0,60.4,0,0.3,1,0.999,1,0.10063,0.10063,0.10063,0.10063,0,0,0,0,0,0,"N","N",149,229,217,228
"Aythya ferina","Aves",0,NA,"VU",NA,"H",277.49,1,1,0,287,4,1.860352,0.0255542857142857,0,0,69.51,0,0.3,1,0.1,1,0.667,0.667,0.667,0.667,0,0,0,0,0,0,"N","N",149,229,217,228
"Aythya fuligula","Aves",0,NA,"VU",NA,"H",276.8,1,1,0,339,4,2.15624,0.0296186813186813,0,0,72.41,0,0.3,1,0.1,1,0.667,0.667,0.667,0.667,0,0,0,0,0,0,"N","N",149,229,217,228
"Aythya nyroca","Aves",0,NA,"LC",NA,"H",566.01,1,1,0,472,4,2.157687,0.0296385576923077,0,0,83.91,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Branta leucopsis","Aves",0,NA,"LC","Yes","H",105.61,1,1,0,376,4,3.286736,0.0451474725274725,0,0,61.4399999999999,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Bubo scandiacus","Aves",0,NA,"CR",NA,"H",590.68,1,1,0,427,4,7.519913553,0.103295515837912,0,0,52.38,0,0.3,1,0.999,1,0.10063,0.10063,0.10063,0.10063,0,0,0,0,0,0,"N","N",149,229,217,228
"Bucephala clangula","Aves",0,NA,"LC",NA,"H",209.89,1,1,0,269,4,3.833801583,0.0526621096565934,0,0,71.81,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Buteo buteo","Aves",0,NA,"LC",NA,"H",262.8,1,1,0,124,4,1.868782,0.0256700824175824,0,0,69.66,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
"Ciconia ciconia","Aves",0,NA,"LC","Yes","H",420.98,1,1,0,1063,4,13.64665134,0.187454001923077,0,0,67.03,0,0.3,1,0.0001,1,0.729937,0.729937,0.729937,0.729937,0,0,0,0,0,0,"N","N",149,229,217,228
