"gbif.species","gbif.id","iucn.species","common.name","genus","family","order","class","excluded","exclusion.reason","redlist.europe","redlist.eu","endemic.europe.iucn","endemic.eu.iucn","endemic.europe.final","vuln.clim.change","aze","target.area.km2","protected.area.km2","gap.km2","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.global","pop.zoo.eu","max.pop.eu","second.max.pop.eu","nr.zoos.global","nr.zoos.eu","eep","esb","aark","redlist.exsitu","redlist.exsitu.needed","ed.value","edge","bodymass.g"
"Curruca balearica",10789323,"Curruca balearica","Balearic Warbler","Curruca","Sylviidae","Passeriformes","Aves",0,NA,"LC","LC","Yes","Yes","Yes","L",0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,4.7403,0,NA
"Curruca cantillans",9317615,"Curruca cantillans","Subalpine Warbler","Curruca","Sylviidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,5.235684,0,NA
"Curruca melanocephala",9990095,"Curruca melanocephala","Sardinian Warbler","Curruca","Sylviidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,4.680806,0,NA
"Curruca subalpina",9478399,"Curruca subalpina","Moltoni's Warbler","Curruca","Sylviidae","Passeriformes","Aves",0,NA,"LC","LC","Yes","Yes","Yes","L",0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,4.680806,0,NA
"Cursorius cursor",2480740,"Cursorius cursor","Cream-coloured Courser","Cursorius","Glareolidae","Charadriiformes","Aves",0,NA,"NT","NT",NA,NA,NA,"H",0,NA,NA,NA,NA,1,0,0,2,0,NA,NA,1,0,0,0,0,0,0,7.868104,0,138
"Cyanistes caeruleus",2487879,"Cyanistes caeruleus","Blue Tit","Cyanistes","Paridae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,411325.71,1051718.707899,0,255.69,1,1,0,3,1,1,0,2,1,0,0,0,0,0,9.43602,0,10.35
"Cyanistes teneriffae",7341849,"Cyanistes teneriffae","African Blue Tit","Cyanistes","Paridae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,7.282013,0,NA
"Cyanopica cooki",5844936,"Cyanopica cooki","Iberian Azure-winged Magpie","Cyanopica","Corvidae","Passeriformes","Aves",0,NA,"LC","LC","Yes","Yes","Yes","H",0,NA,NA,NA,NA,1,1,0,27,22,7,4,9,8,0,0,0,0,0,11.49363,0,NA
"Cygnus cygnus",2498347,"Cygnus cygnus","Whooper Swan","Cygnus","Anatidae","Anseriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,67989.227,124678.6444726,0,183.38,1,1,0,91,36,4,3,46,20,0,0,0,0,0,4.319507795,0,9350
"Cygnus olor",2498343,"Cygnus olor","Mute Swan","Cygnus","Anatidae","Anseriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,232645.574,796531.9162612,0,342.38,1,1,0,346,76,7,6,110,35,0,0,0,0,0,5.612907025,0,10735
"Dama dama",5220136,"Dama dama","European Fallow Deer","Dama","Cervidae","Artiodactyla","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,28297.24,99957.170576,0,353.24,1,1,0,3512,1722,139,101,184,100,0,0,0,0,0,10.20183314,1,57224.61
"Darevskia praticola",2468799,"Darevskia praticola","Meadow Lizard","Darevskia","Lacertidae","Squamata","Reptilia",0,NA,"NT","NT",NA,NA,NA,"H",0,10861.478277,39229.4872408686,0,361.18,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,9.647484038,0,NA
"Delichon urbicum",2489214,"Delichon urbicum","Northern House-martin","Delichon","Hirundinidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,433519.617,930159.6902352,0,214.56,1,1,0,3,1,1,0,2,1,0,0,0,0,0,9.524444,0,14.5
"Dendrocopos leucotos",2477927,"Dendrocopos leucotos","White-backed Woodpecker","Dendrocopos","Picidae","Piciformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,79652.427,240032.5887645,0,301.35,1,1,0,31,31,16,12,3,3,0,0,0,0,0,3.230165,0,117
"Dendrocopos major",2477968,"Dendrocopos major","Great Spotted Woodpecker","Dendrocopos","Picidae","Piciformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,1789.666944,1033.8905935488,755.7763504512,57.77,1,1,0,2,1,1,0,2,1,0,0,0,0,0,3.139634,0,75.06
"Dendrocopos medius",2478026,"Leiopicus medius","Middle Spotted Woodpecker","Dendrocopos","Picidae","Piciformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,161072.757,691823.5985907,0,429.51,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,6.515255,0,59
"Dendrocopos minor",2477950,"Dryobates minor","Lesser Spotted Woodpecker","Dendrocopos","Picidae","Piciformes","Aves",0,NA,"LC","NT",NA,NA,NA,"L",0,321545.668,817144.0060884,0,254.13,1,1,0,2,2,2,0,1,1,0,0,0,0,0,4.95211,0,19.8
"Dendrocopos syriacus",2478031,"Dendrocopos syriacus","Syrian Woodpecker","Dendrocopos","Picidae","Piciformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,77809.977,258881.5744767,0,332.71,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,3.115943,0,76.75
"Dinaromys bogdanovi",2438502,"Dinaromys bogdanovi","Balkan Snow Vole","Dinaromys","Cricetidae","Rodentia","Mammalia",0,NA,"NT","DD","Yes",NA,"Yes",NA,0,6981.759785,6257.7512952955,724.0084897045,89.63,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,12.35672003,1,56
"Discoglossus galganoi",2426616,"Discoglossus galganoi","Iberian Painted Frog","Discoglossus","Alytidae","Anura","Amphibia",0,NA,"LC","LC","Yes","Yes","Yes","L",0,31030.32,105506.191032,0,340.01,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,33.00091575,0,NA
"Discoglossus jeanneae",2426620,"Discoglossus jeanneae","Spanish Painted Frog","Discoglossus","Alytidae","Anura","Amphibia",0,NA,"NT","NT","Yes","Yes","Yes","L",0,20408.963,85554.372896,0,419.2,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,33.03232309,0,NA
"Discoglossus montalentii",2426621,"Discoglossus montalentii","Corsican Painted Frog","Discoglossus","Alytidae","Anura","Amphibia",0,NA,"NT","NT","Yes","Yes","Yes","L",0,3008.280424,733.7195954136,2274.5608285864,24.39,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,36.87394462,0,NA
"Discoglossus pictus",2426617,"Discoglossus pictus","Painted Frog","Discoglossus","Alytidae","Anura","Amphibia",0,NA,"LC","LC",NA,NA,NA,"H",0,9038.228436,5480.7817235904,3557.4467124096,60.64,1,1,0,26,26,20,6,2,2,0,0,0,0,0,33.89646798,0,NA
"Discoglossus sardus",2426615,"Discoglossus sardus","Tyrrhenian Painted Frog","Discoglossus","Alytidae","Anura","Amphibia",0,NA,"LC","LC","Yes","Yes","Yes","L",0,10141.765539,5780.80635723,4360.95918177,57,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,33.89249062,0,NA
"Dolichophis caspius",2457224,"Dolichophis caspius","Large Whip Snake","Dolichophis","Colubridae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"L",0,27488.759,93148.4087474,0,338.86,1,1,0,4,4,3,1,2,2,0,0,0,0,0,8.390721123,0,NA
"Dolichophis cypriensis",2457221,"Hierophis cypriensis","Zypern-schlanknatter","Dolichophis","Colubridae","Squamata","Reptilia",0,NA,"EN","EN","Yes","Yes","Yes",NA,0,1989.857632,2306.6429670144,0,115.92,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,9.086704185,0,NA
"Dolichophis jugularis",2457232,"Dolichophis jugularis","Large Whip Snake","Dolichophis","Colubridae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"L",0,214.251,748.2287673,0,349.23,1,0,0,5,0,NA,NA,4,0,0,0,0,0,0,10.40340562,0,NA
"Dryocopus martius",2477872,"Dryocopus martius","Black Woodpecker","Dryocopus","Picidae","Piciformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,268017.538,712149.4002198,0,265.71,1,1,0,1,1,1,0,1,1,0,0,0,0,0,4.346426556,0,321
"Dryomys nitedula",2439688,"Dryomys nitedula","Forest Dormouse","Dryomys","Gliridae","Rodentia","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,94896.109,401552.8852335,0,423.15,1,1,0,18,9,5,4,4,2,0,0,0,0,0,18.27756141,0,29.5
"Egretta garzetta",2480876,"Egretta garzetta","Little Egret","Egretta","Ardeidae","Pelecaniformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,72830.154,292624.2757566,0,401.79,1,1,0,678,456,29,23,97,74,0,0,0,0,0,7.901933,0,312
"Eirenis modestus",2455751,"Eirenis modestus","Ring-Headed Dwarf Snake","Eirenis","Colubridae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"L",0,454.544,2022.1753472,0,444.88,1,1,0,2,2,2,0,1,1,0,0,0,0,1,7.870193683,0,NA
"Elanus caeruleus",2480372,"Elanus caeruleus","Black-winged Kite","Elanus","Accipitridae","Accipitriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,24611.596,70138.1262808,0,284.98,1,1,0,15,3,3,0,5,1,0,0,0,0,0,12.48682163,0,260.5
"Elaphe quatuorlineata",9197691,"Elaphe quatuorlineata","Four-lined Snake","Elaphe","Colubridae","Squamata","Reptilia",0,NA,"NT","NT","Yes",NA,"Yes","L",0,19801.577,64218.4943687,0,324.31,1,1,0,15,9,3,2,7,4,0,0,0,0,0,6.659937471,0,NA
"Elaphe sauromates",2458386,"Elaphe sauromates","Eastern Four-Lined Ratsnake","Elaphe","Colubridae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"L",0,21038.733,80365.8561867,0,381.99,1,0,0,15,0,NA,NA,3,0,0,0,0,0,0,6.659948515,0,NA
"Eliomys quercinus",2439683,"Eliomys quercinus","Garden Dormouse","Eliomys","Gliridae","Rodentia","Mammalia",0,NA,"NT","NT","Yes",NA,"Yes",NA,0,194247.534,587462.8170762,0,302.43,1,1,0,81,49,33,11,5,4,0,0,0,0,0,20.25201037,0,114.61
"Emberiza aureola",2491518,"Emberiza aureola","Yellow-breasted Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"CR","CR",NA,NA,NA,"L",0,11670.766,3521.0701022,8149.6958978,30.17,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,4.674376045,0,19.6
"Emberiza bruniceps",2491521,"Emberiza bruniceps","Red-headed Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,1,1,0,5,5,3,2,2,2,0,0,0,0,0,5.361963893,0,24.8
"Emberiza buchanani",9566476,"Emberiza buchanani","Grey-necked Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,5.197497769,0,21.2
"Emberiza caesia",2491490,"Emberiza caesia","Cretzschmar's Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,13680.576,41420.6799552,0,302.77,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,4.373903923,0,19.95
"Emberiza calandra",7634625,"Emberiza calandra","Corn Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,295567.044,670848.5197668,0,226.97,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,6.576905377,0,48.75
"Emberiza cia",2491498,"Emberiza cia","Rock Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,115910.977,355394.6465797,0,306.61,1,0,0,1,0,NA,NA,1,0,0,0,0,0,0,3.94296,0,23.45
"Emberiza cineracea",2491469,"Emberiza cineracea","Cinereous Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"NT","NT","Yes",NA,"Yes","L",0,262.045,1315.623127,0,502.06,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,4.482544493,0,24.3
"Emberiza cirlus",7626513,"Emberiza cirlus","Cirl Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC","Yes","Yes","Yes","L",0,155493.195,393148.994238,0,252.84,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,5.180327322,0,25.6
"Emberiza citrinella",2491534,"Emberiza citrinella","Yellowhammer","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,348832.715,789687.500217,0,226.38,1,1,0,20,3,2,1,8,2,0,0,0,0,0,3.445275,0,29.7
"Emberiza hortulana",2491482,"Emberiza hortulana","Ortolan Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,241954.297,630920.0248572,0,260.76,1,1,0,1,1,1,0,1,1,0,0,0,0,0,4.368997929,0,19.9
"Emberiza leucocephalos",2491472,"Emberiza leucocephalos","Pine Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"RE","RE",NA,NA,NA,"L",0,NA,NA,NA,NA,1,1,0,1,1,1,0,1,1,0,0,0,0,0,3.444818,0,28.5
"Emberiza melanocephala",9613112,"Emberiza melanocephala","Black-headed Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,26408.087,85567.4834974,0,324.02,1,0,0,3,0,NA,NA,1,0,0,0,0,0,0,5.323676118,0,28.35
"Emberiza pallasi",2491591,"Emberiza pallasi","Pallas's Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,4.695621639,0,14
"Emberiza pusilla",2491544,"Emberiza pusilla","Little Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,19869.151,97835.699524,0,492.4,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,4.772681993,0,14.6
"Emberiza rustica",2491582,"Emberiza rustica","Rustic Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,59891.174,66347.4425572,0,110.78,1,0,0,1,0,NA,NA,1,0,0,0,0,0,0,5.154166181,0,20.55
"Emberiza schoeniclus",2491557,"Emberiza schoeniclus","Reed Bunting","Emberiza","Emberizidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,318310.369,980586.9227414,0,308.06,1,1,0,9,9,5,2,3,3,0,0,0,0,0,4.703361567,0,18.45
"Emys orbicularis",8909809,"Emys orbicularis","European Pond Turtle","Emys","Emydidae","Testudines","Reptilia",0,NA,"NT","VU",NA,NA,NA,"L",0,212966.274,784589.0500434,0,368.41,1,1,0,1961,1564,242,185,107,77,0,1,0,0,0,13.30941505,0,NA
"Emys trinacris",5220531,"Emys trinacris","Sicilian Pond Turtle","Emys","Emydidae","Testudines","Reptilia",0,NA,"DD","DD","Yes","Yes","Yes","H",0,9362.800023,6009.0450547614,3353.7549682386,64.18,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,13.36065909,0,NA
"Epidalea calamita",2422507,"Epidalea calamita","Natterjack Toad","Epidalea","Bufonidae","Anura","Amphibia",0,NA,"LC","LC","Yes",NA,"Yes","L",0,207568.66,745960.250308,0,359.38,1,1,0,596,596,368,204,7,7,0,0,0,0,0,19.3693597,0,NA
"Eptesicus nilssonii",7261816,"Eptesicus nilssonii","Northern Bat","Eptesicus","Vespertilionidae","Chiroptera","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,186007.274,444687.5899518,0,239.07,1,1,0,1,1,1,0,1,1,0,0,0,0,0,6.334631817,0,10.72
"Eptesicus serotinus",2432359,"Eptesicus serotinus","Serotine","Eptesicus","Vespertilionidae","Chiroptera","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,315252.584,910670.1394008,0,288.87,1,0,0,3,0,NA,NA,1,0,0,0,0,0,0,5.921121062,0,23.09
"Eremias arguta",2468945,"Eremias arguta","Steppe-runner","Eremias","Lacertidae","Squamata","Reptilia",0,NA,"NT","VU",NA,NA,NA,"L",0,3372.286,7302.0108758,0,216.53,1,1,0,2,1,1,0,2,1,0,0,0,0,0,18.34107466,0,NA
"Eremophila alpestris",9415596,"Eremophila alpestris","Horned Lark","Eremophila","Alaudidae","Passeriformes","Aves",0,NA,"LC","NT",NA,NA,NA,"L",0,15312.398,73055.450858,0,477.1,1,1,0,7,4,4,0,4,1,0,0,0,0,0,7.246331,0,33.5333333333333
"Erinaceus europaeus",5219616,"Erinaceus europaeus","Western European Hedgehog","Erinaceus","Erinaceidae","Erinaceomorpha","Mammalia",0,NA,"LC","LC","Yes",NA,"Yes",NA,0,301361.864,650489.583444,0,215.85,1,1,0,74,12,2,1,19,8,0,0,0,0,0,13.87135133,0,777.95
"Erinaceus roumanicus",5219618,"Erinaceus roumanicus","Northern White-breasted Hedgehog","Erinaceus","Erinaceidae","Erinaceomorpha","Mammalia",0,NA,"LC","LC",NA,NA,NA,NA,0,132902.648,365615.184648,0,275.1,1,1,0,5,5,2,1,4,4,0,0,0,0,0,13.79771299,0,772
"Erithacus rubecula",2492462,"Erithacus rubecula","European Robin","Erithacus","Muscicapidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","H",0,411179.364,1097643.312198,0,266.95,1,1,0,19,10,10,0,5,1,0,0,0,0,0,10.37316962,0,17.7
"Erythropygia galactotes",5788860,"Cercotrichas galactotes","Rufous-tailed Scrub-robin","Erythropygia","Muscicapidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,26248.721,73317.9274972,0,279.32,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,6.935731569,0,20.3
"Eryx jaculus",9595248,"Eryx jaculus","Javelin Sand Boa","Eryx","Boidae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,"L",0,16664.914,55654.1467944,0,333.96,1,0,0,5,0,NA,NA,4,0,0,0,0,0,0,12.3178446,0,NA
"Euleptes europaea",2446608,"Euleptes europaea","European Leaf-toed Gecko","Euleptes","Sphaerodactylidae","Squamata","Reptilia",0,NA,"NT","NT",NA,NA,NA,"L",0,9824.536501,5999.8444411607,3824.6920598393,61.07,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,47.22629051,0,NA
"Eumeces schneideri",9032472,"Eumeces schneideri","Orange-tailed Skink","Eumeces","Scincidae","Squamata","Reptilia",0,NA,"LC","LC",NA,NA,NA,NA,0,1254.984,4648.3352376,0,370.39,1,1,0,43,28,5,4,18,12,0,0,0,0,0,15.48847144,0,NA
"Euproctus montanus",2431940,"Euproctus montanus","Corsican Brook Salamander","Euproctus","Salamandridae","Caudata","Amphibia",0,NA,"LC","LC","Yes","Yes","Yes","L",0,3701.366669,873.522533884,2827.844135116,23.6,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,19.38171304,0,NA
"Euproctus platycephalus",2431941,"Euproctus platycephalus","Sardinian Brook Salamander","Euproctus","Salamandridae","Caudata","Amphibia",0,NA,"EN","EN","Yes","Yes","Yes","H",0,4158.651659,2597.9096913773,1560.7419676227,62.47,1,1,0,224,224,204,20,2,2,0,0,0,0,0,19.4208788,1,NA
"Falco biarmicus",8014966,"Falco biarmicus","Lanner Falcon","Falco","Falconidae","Falconiformes","Aves",0,NA,"NT","EN",NA,NA,NA,"L",0,19190.926,47639.5547024,0,248.24,1,1,0,117,85,15,5,49,35,0,0,0,0,0,3.851017,0,616
"Falco cherrug",2481034,"Falco cherrug","Saker Falcon","Falco","Falconidae","Falconiformes","Aves",0,NA,"EN","EN",NA,NA,NA,"H",0,22082.951,60675.1161676,0,274.76,1,1,0,181,96,20,10,56,34,0,0,0,1,0,3.540804,0,966
"Falco columbarius",9813242,"Falco columbarius","Merlin","Falco","Falconidae","Falconiformes","Aves",0,NA,"VU","VU",NA,NA,NA,"L",0,87480.873,163982.8964385,0,187.45,1,1,0,23,13,4,3,16,7,0,0,0,0,0,8.698913427,0,190.5
"Falco eleonorae",2481037,"Falco eleonorae","Eleonora's Falcon","Falco","Falconidae","Falconiformes","Aves",0,NA,"LC","LC","Yes","Yes","Yes","L",0,10853.368258,15565.9007556236,0,143.42,1,1,0,2,1,1,0,2,1,0,0,0,0,0,4.749419,0,390
"Falco naumanni",9584698,"Falco naumanni","Lesser Kestrel","Falco","Falconidae","Falconiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,64518.729,145051.0065378,0,224.82,1,1,0,106,68,25,12,14,12,1,0,0,0,0,7.1752285,0,152.5
"Falco peregrinus",2481047,"Falco peregrinus","Peregrine Falcon","Falco","Falconidae","Falconiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,182308.027,491630.0564109,0,269.67,1,1,0,204,100,19,15,97,30,0,0,0,0,0,3.93233,0,783.333333333333
"Falco rusticolus",8069880,"Falco rusticolus","Gyrfalcon","Falco","Falconidae","Falconiformes","Aves",0,NA,"LC","EN",NA,NA,NA,"H",0,8967.145,48666.489344,0,542.72,1,1,0,36,22,8,2,22,12,0,0,0,0,0,3.609385,0,1461
"Falco subbuteo",2481035,"Falco subbuteo","Eurasian Hobby","Falco","Falconidae","Falconiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,324290.703,818055.7273878,0,252.26,1,1,0,26,11,2,1,19,7,0,0,0,0,0,4.072536,0,209.5
"Falco tinnunculus",9616058,"Falco tinnunculus","Common Kestrel","Falco","Falconidae","Falconiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,431360.075,967411.2402025,0,224.27,1,1,0,184,93,10,6,75,42,0,0,0,0,0,4.393255,0,184
"Falco vespertinus",2481062,"Falco vespertinus","Red-footed Falcon","Falco","Falconidae","Falconiformes","Aves",0,NA,"VU","VU",NA,NA,NA,"L",0,34170.124,50072.8997096,0,146.54,1,1,0,23,18,5,3,11,6,0,0,0,0,0,6.494746729,0,152.5
"Felis silvestris",7964291,"Felis silvestris","Wild Cat","Felis","Felidae","Carnivora","Mammalia",0,NA,"LC","NT",NA,NA,NA,NA,0,126257.33,559067.45724,0,442.8,1,1,0,278,200,10,9,73,55,0,0,0,1,0,7.267931656,0,4573.08
"Ficedula albicollis",2492601,"Ficedula albicollis","Collared Flycatcher","Ficedula","Muscicapidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,78334.366,316580.5067524,0,404.14,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,4.405894,0,12.7
"Ficedula hypoleuca",2492606,"Ficedula hypoleuca","European Pied Flycatcher","Ficedula","Muscicapidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,239280.796,509715.9516392,0,213.02,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,4.406315,0,13.9
"Ficedula parva",2492605,"Ficedula parva","Red-breasted Flycatcher","Ficedula","Muscicapidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,141812.9,278577.26076,0,196.44,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,4.277584,0,9.9
"Ficedula semitorquata",2492608,"Ficedula semitorquata","Semi-collared Flycatcher","Ficedula","Muscicapidae","Passeriformes","Aves",0,NA,"LC","LC","Yes",NA,"Yes","L",0,10960.05,55103.843385,0,502.77,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,4.661644,0,14.4
"Francolinus francolinus",5227919,"Francolinus francolinus","Black Francolin","Francolinus","Phasianidae","Galliformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,468.314,2129.189601,0,454.65,1,1,0,16,5,2,1,6,3,0,0,0,0,0,7.550290983,0,453
"Fratercula arctica",2481353,"Fratercula arctica","Atlantic Puffin","Fratercula","Alcidae","Charadriiformes","Aves",0,NA,"EN","LC","Yes",NA,"Yes","L",0,5344.579,20441.9457592,0,382.48,1,1,0,147,84,53,8,13,6,0,1,0,0,0,6.243924,1,652
"Fringilla coelebs",2494422,"Fringilla coelebs","Eurasian Chaffinch","Fringilla","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,272.14,169.40715,102.73285,62.25,1,1,0,21,11,3,2,12,5,0,0,0,0,0,8.062716092,0,23.9666666666667
"Fringilla montifringilla",2494441,"Fringilla montifringilla","Brambling","Fringilla","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,92610.796,130414.5229272,0,140.82,1,1,0,6,1,1,0,4,1,0,0,0,0,0,8.770712566,0,23.2
"Fringilla polatzeki",7894593,"Fringilla polatzeki","Gran Canaria Blue Chaffinch","Fringilla","Fringillidae","Passeriformes","Aves",0,NA,"EN","EN","Yes","Yes","Yes","H",1,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,1,0,8.113669,0,NA
"Fringilla teydea",2494442,"Fringilla teydea","Blue Chaffinch","Fringilla","Fringillidae","Passeriformes","Aves",0,NA,"NT","NT","Yes",NA,"Yes","H",0,510.54,355.999542,154.540458,69.73,1,1,0,2,2,2,0,1,1,0,0,0,0,0,8.113669425,0,30.3
"Fulica atra",2474377,"Fulica atra","Common Coot","Fulica","Rallidae","Gruiformes","Aves",0,NA,"NT","LC",NA,NA,NA,"H",0,347097.484,1043201.488162,0,300.55,1,1,0,60,7,3,1,14,5,0,0,0,0,0,6.341703,0,734.333333333333
"Fulica cristata",2474381,"Fulica cristata","Red-knobbed Coot","Fulica","Rallidae","Gruiformes","Aves",0,NA,"CR","CR",NA,NA,NA,"L",0,1100.466,3156.2465346,0,286.81,1,1,0,5,5,5,0,1,1,0,0,0,0,1,18.82005081,0,826
"Fulmarus glacialis",2481433,"Fulmarus glacialis","Northern Fulmar","Fulmarus","Procellariidae","Procellariiformes","Aves",0,NA,"VU","EN",NA,NA,NA,"L",0,10905.223,17614.1161896,0,161.52,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,9.869482965,0,613
"Galemys pyrenaicus",5219516,"Galemys pyrenaicus","Pyrenean Desman","Galemys","Talpidae","Soricomorpha","Mammalia",0,NA,"NT","NT","Yes",NA,"Yes",NA,0,17699.969,66585.5133811,0,376.19,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,22.66510626,1,60.17
"Galerida cristata",2490669,"Galerida cristata","Crested Lark","Galerida","Alaudidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,250284.864,506651.6501952,0,202.43,1,1,0,10,3,2,1,4,2,0,0,0,0,0,4.371645,0,42.8333333333333
"Galerida theklae",9330514,"Galerida theklae","Thekla Lark","Galerida","Alaudidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,39445.55,108656.71203,0,275.46,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,5.643283,0,38.2
"Gallinago gallinago",2481819,"Gallinago gallinago","Common Snipe","Gallinago","Scolopacidae","Charadriiformes","Aves",0,NA,"VU","LC",NA,NA,NA,"L",0,240932.338,738867.2009446,0,306.67,1,0,0,1,0,NA,NA,1,0,0,0,0,0,0,7.597221533,0,105
