"gbif.species","gbif.id","iucn.species","common.name","genus","family","order","class","excluded","exclusion.reason","redlist.europe","redlist.eu","endemic.europe.iucn","endemic.eu.iucn","endemic.europe.final","vuln.clim.change","aze","target.area.km2","protected.area.km2","gap.km2","perc.target.met.in.PAs.and.N2K","zoo.global","zoo.eu","genus.zoo.global","pop.zoo.global","pop.zoo.eu","max.pop.eu","second.max.pop.eu","nr.zoos.global","nr.zoos.eu","eep","esb","aark","redlist.exsitu","redlist.exsitu.needed","ed.value","edge","bodymass.g"
"Bucanetes githagineus",2494394,"Bucanetes githagineus","Trumpeter Finch","Bucanetes","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,1818.405,6213.126204,0,341.68,1,1,0,6,6,3,2,3,3,0,0,0,0,0,7.280293222,0,19.6
"Bucanetes mongolicus",4408954,"Bucanetes mongolicus","Mongolian Finch","Bucanetes","Fringillidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,NA,NA,NA,NA,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,7.266729301,0,21.5
"Bucephala clangula",2498326,"Bucephala clangula","Common Goldeneye","Bucephala","Anatidae","Anseriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,125837.206,264119.7116734,0,209.89,1,1,0,361,269,79,41,54,35,0,0,0,0,0,3.833801583,0,938.5
"Bufo bufo",5217160,"Bufo bufo","Common Toad","Bufo","Bufonidae","Anura","Amphibia",0,NA,"LC","LC",NA,NA,NA,"L",0,402945.728,1059827.8537856,0,263.02,1,1,0,119,104,17,10,24,19,0,0,0,0,0,8.32629633,0,NA
"Bulweria bulwerii",2481606,"Bulweria bulwerii","Bulwer's Petrel","Bulweria","Procellariidae","Procellariiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,543.312,3008.1012192,0,553.66,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,13.13231542,0,99
"Burhinus oedicnemus",2482100,"Burhinus oedicnemus","Eurasian Thick-knee","Burhinus","Burhinidae","Charadriiformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,117537.35,259440.192655,0,220.73,1,1,0,203,98,15,10,33,24,0,0,0,0,0,15.41090722,0,459
"Buteo buteo",2480537,"Buteo buteo","Eurasian Buzzard","Buteo","Accipitridae","Accipitriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,399436.35,1049718.7278,0,262.8,1,1,0,247,124,10,9,89,50,0,0,0,0,0,1.868782,0,776
"Buteo lagopus",2480524,"Buteo lagopus","Rough-legged Buzzard","Buteo","Accipitridae","Accipitriformes","Aves",0,NA,"LC","VU",NA,NA,NA,"H",0,53234.651,103525.4257997,0,194.47,1,1,0,28,3,2,1,18,2,0,0,0,0,0,2.957172,0,956
"Buteo rufinus",2480564,"Buteo rufinus","Long-legged Buzzard","Buteo","Accipitridae","Accipitriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"H",0,22610.071,74045.7215179,0,327.49,1,1,0,81,20,4,3,23,9,0,0,0,0,0,4.187480704,0,1174.5
"Calandrella brachydactyla",2490681,"Calandrella brachydactyla","Greater Short-toed Lark","Calandrella","Alaudidae","Passeriformes","Aves",0,NA,"LC","LC",NA,NA,NA,"L",0,83571.435,214160.159331,0,256.26,1,1,0,1,1,1,0,1,1,0,0,0,0,0,6.914282,0,21.1
