"db.species","col.species","x","a1","a2","a3","a4","a5","a6","a7","a8","a9","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a31","a32","a36","a37","a38","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a61","a62","a63","a66","a67","a68","a70","a71","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a95","a99","a100","a101","a102","a103","a104","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Lissotriton vulgaris","Lissotriton vulgaris","a95",0,0,0,0,0.25,0,0.9,1,0,0.26,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0.73,0,0.63,0,0,0,0,0,0,0,0.38,0,0,0.2,0.83,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0.83,0.21,0,0,0,0,0.23,0,1,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lissotriton","Lissotriton vulgaris",5218405
"Lyciasalamandra helverseni","Lyciasalamandra helverseni","a31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lyciasalamandra","Lyciasalamandra helverseni",2431829
"Lyciasalamandra luschani","Lyciasalamandra luschani","a32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Lyciasalamandra","Lyciasalamandra luschani",2431833
"Mesotriton alpestris","Ichthyosaura alpestris","a83",0,0,0,0.32,0.18,0.03,0.54,1,0.47,0.36,0.01,0.01,0.01,0,0,0,0,0,0,0.77,0.07,0.01,0,0,0,0,0,0.01,0.03,0,0.16,0,0.01,0.23,0,0.03,0,0,0.49,0,0.4,0.03,0,0.02,0.02,0.03,0.02,0.01,0.54,0.02,0,0.57,0.94,0,0,0,0.47,0.03,0,0,0,0,0,0.01,0,0.01,0,1,0.01,0.19,0.62,0.02,0.42,0,0.02,0.13,0.08,0,0.03,0,0.04,0,0,0.02,0.02,"found species on GBIF","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Ichthyosaura","Ichthyosaura alpestris",2431783
"Pelobates cultripes","Pelobates cultripes","a36",0.14,0.03,0,0.53,0,0,0,1,0.94,0,0.03,0.22,0.11,0,0,0,0.01,0,0,0.61,0,0.41,0,0,0,0,1,0,0,0.13,0.32,0.21,0,0,0,0,0,0,0,0,0,0,0.01,0,0.11,0,0,0,0,0.35,0,0.01,0.05,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.14,0,0,0.23,0,0.21,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Pelobatidae","Pelobates","Pelobates cultripes",2430565
"Pelobates fuscus","Pelobates fuscus","a37",0,0,0,0,0,0.04,0.04,0.97,0,0.18,0,0,0,0,0,0,0,0,0,0.01,0.97,0,0,0,0,0,0,1,0,0,0.01,0,0,0,0,0.01,0,0,0.29,0,0.45,0,0,0.02,0,0.03,0,0.43,0.58,0,0,0,0.38,0,0,0,0.19,0.02,0,0,0,0,0,0,0,0.01,0,0.23,0,0.63,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Pelobatidae","Pelobates","Pelobates fuscus",2430567
"Pelobates syriacus","Pelobates syriacus","a38",0,0,0,0,0.08,0,0.44,0.99,0,0.99,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.35,0.02,0.04,0.35,0,0,0,0,0.49,0,0,0,0,0.19,0.06,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.01,0.03,0,0,0.11,0,0,0,0,0,0,0,0,0.78,0.35,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Pelobatidae","Pelobates","Pelobates syriacus",2430566
"Pelodytes ibericus","Pelodytes ibericus","a40",0.32,0.04,0,0,0,0,0,1,1,0,0,0.35,0.32,0,0,0,0,0,0,0.32,0,0.88,0,0,0,0,1,0,0,1,0.03,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Pelodytidae","Pelodytes","Pelodytes ibericus",2424292
"Pelodytes punctatus","Pelodytes punctatus","a41",0.02,0,0,0.62,0,0,0.06,1,0.69,0,0.02,0.1,0.09,0,0,0,0.02,0,0,0.75,0,0.16,0,0,0,0,0.34,0,0,0,1,0.1,0,0,0,0,0,0,0.15,0,0.04,0,0.05,0,0.04,0,0,0,0.12,0.26,0,0.2,0.39,0,0,0,0.36,0.01,0,0,0,0,0,0,0,0.02,0,0.26,0.07,0.01,0.26,0,0.43,0,0,0.31,0,0.03,0,0,0.02,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Pelodytidae","Pelodytes","Pelodytes punctatus",2424293
"Pelophylax bedriagae","Pelophylax bedriagae","a45",0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Amphibia","Anura","Ranidae","Pelophylax","Pelophylax bedriagae",2426640
