"db.species","col.species","x","m2","m3","m4","m11","m12","m13","m14","m15","m17","m19","m20","m21","m22","m23","m24","m25","m26","m28","m30","m36","m37","m38","m43","m45","m46","m49","m52","m53","m54","m56","m57","m58","m59","m62","m66","m68","m72","m73","m74","m76","m77","m80","m81","m83","m85","m86","m90","m91","m94","m96","m97","m98","m99","m100","m101","m103","m105","m110","m111","m114","m121","m125","m127","m128","m130","m131","m132","m133","m136","m137","m138","m140","m141","m142","m143","m146","m148","m149","m152","m153","m154","m156","m157","m158","m159","m160","m161","m162","m163","m164","m165","m166","m167","m169","m170","m171","m172","m174","m175","m176","m177","m178","m179","m180","m181","m182","m183","m185","m186","m187","m189","m191","m192","m195","m196","m197","m198","m201","m203","m206","m207","m208","m209","m210","m211","m212","m213","m214","m215","m216","m218","m224","m225","m226","m227","m228","m230","m232","m234","m235","m237","m241","m243","m244","m245","m246","m248","m249","m250","m251","m252","m253","m255","m262","m263","m265","m268","m273","m277","m278","m279","m280","m283","m284","m285","m286","m287","m290","m292","m293","m295","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Neomys fodiens","Neomys fodiens","m192",0,0,0.33,0.02,0.34,0.03,0,0.75,0,0.76,0.16,0,0.9,0.17,0.16,0,0.4,0,0.05,0,0,0.92,0.02,0.01,0.14,0,0.44,0,0.15,0,0.46,0,0.06,0,0.09,0.26,0,0.45,0.65,0.65,0.31,0.11,0.04,0.08,0.37,0.07,0.26,0.04,0.09,0,0,0.01,0.85,0.03,0.07,0.82,0,0.62,0.4,0.97,0,0.01,0.18,0.86,0.35,0,0,0,0.04,0,0.03,0,0.09,0.03,0.04,0.06,0.06,0.04,0.42,0,0,0.33,0,0,0.53,0.04,0.02,0.38,0.41,0.08,0.01,0.93,0.79,0.84,0.07,0.01,0,0.1,0.1,0.03,0.36,0.35,0.43,0.07,0.22,0.61,0.5,0.6,0.75,0.52,0,0.49,1,0,0.15,0.69,0.76,0.12,0,0.33,0,0.5,0.75,0.3,0.54,0.37,0,0.07,0,0,0,0.04,0.18,0.29,0.35,0.03,0,0.01,0,0.4,0.15,0,0.01,0.12,0.1,0.69,0.11,0.11,0.01,0.02,0.03,1,0.04,0,0.03,0,0.06,0,0.08,0.47,0.18,0.02,0.8,0,0.03,0.02,0,0.19,0.49,0.01,0.93,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Neomys","Neomys fodiens",2435767
"Nyctalus azoreum","Nyctalus azoreum","m195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Nyctalus","Nyctalus azoreum",5218523
"Nyctalus lasiopterus","Nyctalus lasiopterus","m196",0,0,0.04,0,0.38,0.01,0,0.78,0,1,0.26,0,0.22,0.15,0.16,0,0.91,0,0.19,0,0,0.97,0,0.01,0.13,0,0.54,0,0.15,0,0.78,0,0.1,0,0.25,0.64,0,0.16,1,0.57,0.43,0.33,0.07,0.27,0.78,0,0.62,0.07,0,0,0,0.01,0.68,0.19,0,0.28,0,0.85,0.57,1,0,0.02,0.25,0.64,0.23,0,0.01,0.01,0.1,0,0.02,0.01,0.08,0.04,0.18,0.08,0,0.03,0.42,0,0.01,0.73,0,0.03,0.38,0.08,0.1,0.61,0.12,0.13,0.01,1,0.62,0.61,0,0,0,0,0.26,0.14,0.85,0.73,0.44,0.08,0.06,0.32,0.8,0.89,0.85,0.97,0,0.43,0.23,0,1,1,0.74,0.32,0,0.67,0,0.89,1,0.48,0.96,0.95,0.01,0.05,0,0,0,0.1,0.61,0.74,0.87,0.15,0,0.01,0,0.58,0.06,0,0.03,0.12,0.12,0.43,0,0.26,0.1,0,0,0.94,0.09,0,0.06,0,0.12,0,0.24,0.92,0.52,0.04,0.64,0.01,0.18,0.01,0.01,0.1,0.41,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Nyctalus","Nyctalus lasiopterus",5218525
"Nyctalus leisleri","Nyctalus leisleri","m197",0,0,0.11,0,0.34,0.02,0.01,0.65,0,0.96,0.16,0,0.2,0.08,0.15,0,0.48,0,0.08,0,0.01,0.89,0.01,0.01,0.15,0,0.51,0.01,0.28,0,0.49,0,0.05,0,0.12,0.28,0,0.3,0.86,0.69,0.35,0.14,0.02,0.15,0.4,0,0.31,0.04,0,0.01,0,0.01,0.64,0.12,0.01,0.3,0,0.75,0.33,0.88,0,0.01,0.24,0.6,0.4,0,0.01,0.01,0.09,0,0.04,0,0.05,0.02,0.07,0.04,0.01,0.03,0.41,0,0.01,0.43,0,0.02,0.65,0.04,0.1,0.36,0.37,0.08,0,0.95,0.53,0.63,0,0,0,0,0.09,0.05,0.38,0.4,0.37,0.06,0.1,0.32,0.6,0.74,0.74,0.56,0.01,0.26,0.18,0,0.17,1,0.8,0.21,0.01,0.46,0,0.5,0.99,0.35,0.51,0.5,0.01,0.06,0,0,0,0.05,0.22,0.28,0.36,0.09,0,0.02,0,0.32,0.08,0,0.02,0.1,0.08,0.51,0,0.11,0.02,0,0,0.8,0.03,0,0.04,0,0.07,0,0.11,0.58,0.3,0.02,0.69,0,0.08,0.03,0.01,0.05,0.47,0.01,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Nyctalus","Nyctalus leisleri",5218522
"Nyctalus noctula","Nyctalus noctula","m198",0,0,0.26,0,0.38,0.02,0.01,0.79,0,0.89,0.18,0,0.23,0.05,0.15,0,0.41,0,0.08,0,0,0.97,0.01,0.01,0.15,0,0.51,0,0.19,0.01,0.46,0,0.05,0,0.12,0.22,0,0.44,0.75,0.68,0.38,0.1,0,0.05,0.38,0,0.23,0.04,0.01,0,0,0.01,0.72,0.01,0.01,0.29,0,0.67,0.42,0.88,0,0.01,0.25,0.73,0.4,0,0.01,0,0.02,0,0.04,0,0.08,0.02,0.01,0.03,0.01,0.04,0.42,0,0.01,0.31,0,0.02,0.56,0.04,0.01,0.39,0.43,0.08,0,0.99,0.52,0.77,0.01,0,0,0.04,0.09,0.05,0.33,0.3,0.5,0.05,0.14,0.34,0.48,0.63,0.77,0.6,0,0.2,0.2,0,0.12,0.78,1,0.11,0,0.35,0,0.56,0.87,0.34,0.59,0.43,0.01,0.06,0,0,0.01,0.06,0.16,0.23,0.3,0.04,0,0.02,0,0.41,0.14,0,0.02,0.1,0.07,0.67,0.02,0.1,0,0,0.01,0.87,0.03,0,0.04,0,0.07,0,0.07,0.55,0.16,0.02,0.76,0,0,0.02,0.01,0.09,0.6,0.01,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Nyctalus","Nyctalus noctula",5218524
"Oryctolagus cuniculus","Oryctolagus cuniculus","m201",0,0,0,0,0,0,0,0.21,0,1,0,0,0.05,0.26,0.01,0.04,0.32,0,0,0,0.04,0.81,0.02,0,0,0,0.12,0,0.83,0,0.52,0,0,0,0,0.4,0,0,1,1,0,0.13,0.06,0.47,0.13,0,0.45,0,0,0,0,0,0.29,0.54,0,0.27,0,0.99,0.15,0.71,0,0,0.22,0.37,0.46,0,0,0.05,0.33,0,0.2,0,0,0,0.27,0,0,0,0.15,0,0,0.77,0,0,0.83,0,0.45,0.07,0.17,0,0.01,1,0.68,0.28,0,0,0,0,0.08,0,0.32,0.54,0,0.05,0,0.23,0.78,0.84,0.42,0.39,0,0.29,0.1,0,0.17,0.68,0.36,1,0,0.96,0,0.24,1,0.33,0.24,0.45,0,0.01,0,0,0,0,0.35,0.31,0.32,0.13,0,0,0,0.15,0,0,0,0,0,0.02,0,0.15,0.05,0,0,0.43,0,0,0,0,0,0,0.22,0.52,0.67,0,0.5,0,0.25,0,0,0,0,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Oryctolagus","Oryctolagus cuniculus",2436940
"Ovis aries","Ovis aries","m203",0,0.1,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.34,0,0.41,0,0,0.63,0,0,1,0.84,0,0.43,0,0,0.14,0,1,0,0,0.68,0,0,0.34,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.09,0,0.67,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.13,0.15,0,0.37,0,0.32,0.88,0,0.85,0.31,0.85,0,0,0,0,0.85,0.15,0,1,1,0,0.53,0.85,0.38,0.28,0.49,0.15,0,0.12,0,0,0.15,0.4,0.41,0.42,0.69,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.63,1,0,0,0,0,0,0,0,0,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries",2441110
"Pipistrellus kuhlii","Pipistrellus kuhlii","m206",0,0,0,0,0.16,0.03,0.02,0.42,0,0.99,0.05,0,0.17,0.15,0.1,0.02,0.39,0,0.1,0,0.02,0.82,0.02,0.01,0.05,0,0.47,0.01,0.47,0.01,0.63,0,0.08,0,0.1,0.34,0,0.08,1,0.78,0.23,0.15,0.03,0.23,0.3,0,0.62,0.09,0,0.02,0,0.02,0.45,0.24,0.01,0.26,0,0.89,0.24,0.7,0,0.01,0.25,0.31,0.37,0,0.03,0.02,0.16,0,0.09,0.01,0.05,0.03,0.11,0.05,0,0.09,0.24,0,0.02,0.76,0,0.04,0.74,0.03,0.22,0.24,0.16,0.05,0,0.98,0.59,0.37,0,0,0,0,0.1,0.06,0.36,0.53,0.17,0.1,0.01,0.25,0.7,0.75,0.54,0.46,0.02,0.29,0.13,0,0.17,0.69,0.54,0.45,0.02,1,0,0.39,1,0.36,0.35,0.48,0.03,0.09,0,0,0,0.08,0.31,0.37,0.39,0.13,0,0.02,0,0.22,0.01,0,0.01,0.07,0.11,0.16,0,0.11,0.02,0,0,0.52,0.05,0,0.04,0,0.03,0,0.2,0.51,0.63,0.03,0.54,0,0.1,0.05,0.01,0.04,0.16,0.01,0.97,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus kuhlii",5218464
"Pipistrellus maderensis","Pipistrellus maderensis","m207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.45,0,0,0,0,1,0,0,0,0,0.12,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.79,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus maderensis",5218476
"Pipistrellus nathusii","Pipistrellus nathusii","m208",0,0,0.27,0,0.43,0.03,0,0.8,0,0.87,0.2,0,0.24,0.05,0.15,0.01,0.7,0,0.08,0,0,0.89,0,0,0.11,0,0.49,0,0.1,0.01,0.47,0,0.05,0,0.17,0.41,0,0.47,0.78,0.65,0.43,0.18,0.02,0.07,0.57,0.01,0.3,0.04,0,0.01,0,0.01,0.67,0.05,0,0.25,0,0.69,0.61,0.96,0,0.01,0.23,0.73,0.22,0,0.01,0,0.03,0,0.01,0,0.09,0.03,0.03,0.04,0.01,0.04,0.43,0,0,0.35,0,0.01,0.35,0.05,0.03,0.57,0.27,0.07,0,0.97,0.48,0.77,0,0,0,0.02,0.14,0.06,0.54,0.35,0.7,0.04,0.14,0.27,0.46,0.62,0.8,0.92,0.01,0.22,0.19,0,0.22,0.74,0.85,0.11,0.01,0.38,0,1,0.88,0.5,0.9,0.64,0,0.07,0,0,0.02,0.05,0.26,0.43,0.54,0.04,0,0.02,0,0.61,0.15,0,0.02,0.12,0.08,0.67,0.03,0.17,0.01,0.01,0.01,0.89,0.05,0,0.03,0,0.07,0,0.12,0.77,0.23,0.02,0.63,0,0.03,0.02,0,0.11,0.62,0,0.93,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus nathusii",5218471
"Pipistrellus pipistrellus","Pipistrellus abramus","m209",0,0,0.1,0,0.35,0.01,0.01,0.49,0,0.95,0.17,0,0.19,0.08,0.1,0.01,0.35,0,0.05,0,0.01,0.86,0.01,0.01,0.18,0,0.47,0,0.3,0.01,0.49,0,0.04,0,0.08,0.22,0,0.24,0.85,0.69,0.37,0.11,0.02,0.11,0.28,0,0.31,0.04,0,0.01,0,0.01,0.5,0.12,0.01,0.24,0,0.76,0.27,0.72,0,0,0.32,0.48,0.45,0,0.01,0.01,0.08,0,0.04,0,0.06,0.01,0.06,0.02,0.01,0.04,0.29,0,0.01,0.41,0,0.02,0.71,0.05,0.1,0.26,0.31,0.09,0,0.95,0.52,0.5,0,0,0,0,0.07,0.03,0.27,0.3,0.28,0.04,0.08,0.25,0.45,0.57,0.55,0.45,0.01,0.19,0.14,0,0.12,0.68,0.62,0.22,0.01,0.45,0,0.41,1,0.39,0.4,0.38,0.01,0.04,0,0,0,0.04,0.16,0.22,0.28,0.06,0,0.01,0,0.26,0.07,0,0.01,0.07,0.05,0.41,0,0.08,0.01,0,0,0.62,0.02,0,0.03,0,0.05,0,0.09,0.44,0.3,0.01,0.69,0,0.05,0.02,0,0.04,0.35,0,0.96,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",5218465
"Pipistrellus pygmaeus","Pipistrellus pygmaeus","m210",0,0,0.19,0,0.36,0.01,0,0.46,0,0.94,0.16,0,0.21,0.06,0.08,0.01,0.46,0,0.02,0,0.01,0.88,0,0,0.19,0,0.37,0,0.22,0,0.47,0,0.03,0,0.07,0.24,0,0.35,0.79,0.68,0.38,0.1,0.01,0.04,0.33,0,0.29,0.04,0,0.01,0,0,0.45,0.11,0,0.19,0,0.77,0.35,0.62,0,0,0.42,0.46,0.4,0,0,0,0.05,0,0.03,0,0.04,0.01,0.05,0.04,0.01,0.04,0.23,0,0,0.39,0,0,0.6,0.03,0.12,0.4,0.15,0.06,0,0.96,0.55,0.48,0,0,0,0.01,0.08,0.01,0.38,0.24,0.42,0.02,0.09,0.19,0.34,0.46,0.48,0.6,0.01,0.16,0.13,0,0.13,0.57,0.57,0.17,0.01,0.39,0,0.56,0.93,1,0.55,0.45,0,0.03,0,0,0,0.01,0.21,0.3,0.36,0.03,0,0,0,0.35,0.06,0,0.01,0.05,0.06,0.41,0,0.08,0.01,0,0,0.54,0.03,0,0.01,0,0.03,0,0.12,0.57,0.3,0.02,0.7,0,0.03,0.02,0,0.02,0.38,0,0.95,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",5707150
"Pipistrellus savii","Pipistrellus savii","m90",0.01,0,0,0,0.22,0.02,0.03,0.51,0.01,0.98,0.08,0,0.2,0.13,0.09,0.04,0.43,0,0.15,0,0.03,0.82,0.02,0.02,0.08,0,0.51,0.02,0.3,0.02,0.7,0,0.12,0,0.12,0.34,0,0.09,0.99,0.68,0.31,0.16,0.05,0.21,0.39,0,1,0.13,0,0.02,0,0.03,0.48,0.21,0.01,0.26,0,0.86,0.27,0.71,0,0.01,0.23,0.28,0.3,0,0.04,0.01,0.13,0,0.05,0.01,0.07,0.04,0.15,0.08,0,0.13,0.2,0,0.03,0.78,0,0.05,0.71,0.06,0.17,0.27,0.13,0.08,0,0.97,0.57,0.36,0,0,0,0,0.09,0.09,0.4,0.59,0.21,0.14,0.01,0.26,0.65,0.7,0.55,0.49,0.02,0.33,0.15,0,0.23,0.69,0.52,0.31,0.03,0.91,0,0.46,0.98,0.39,0.41,0.49,0.04,0.13,0,0,0,0.11,0.35,0.43,0.45,0.13,0,0.03,0,0.25,0,0,0.02,0.07,0.17,0.19,0,0.08,0.03,0,0,0.57,0.07,0,0.06,0,0.06,0,0.2,0.5,0.76,0.04,0.51,0,0.1,0.07,0.01,0.05,0.2,0.01,0.96,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Hypsugo","Hypsugo savii",7261861
"Plecotus auritus","Plecotus auritus","m211",0,0,0.4,0,0.42,0.02,0,0.82,0,0.75,0.17,0,0.24,0.04,0.13,0,0.58,0,0.06,0,0,0.95,0,0,0.1,0,0.39,0,0.06,0,0.39,0,0.04,0,0.14,0.41,0,0.56,0.62,0.71,0.35,0.16,0.02,0.07,0.49,0.09,0.24,0.03,0.01,0,0,0.01,0.63,0.04,0,0.29,0,0.55,0.72,0.98,0,0.01,0.19,0.82,0.18,0,0.01,0,0.02,0,0.01,0,0.1,0.02,0.04,0.03,0.01,0.02,0.36,0,0,0.28,0,0.01,0.24,0.04,0.02,0.49,0.38,0.06,0,0.97,0.48,0.84,0.02,0.01,0,0.15,0.12,0.04,0.45,0.28,0.76,0.03,0.12,0.28,0.38,0.49,0.82,0.84,0,0.19,0.18,0,0.21,0.64,0.76,0.09,0,0.29,0,0.77,0.73,0.42,1,0.51,0,0.05,0,0,0.09,0.04,0.21,0.33,0.43,0.04,0,0.02,0,0.72,0.24,0,0.02,0.1,0.07,0.76,0.14,0.14,0.02,0.07,0.09,0.97,0.04,0,0.03,0,0.06,0,0.09,0.69,0.17,0.02,0.59,0,0.04,0.02,0,0.23,0.58,0,0.98,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Plecotus auritus",5218507
"Plecotus austriacus","Plecotus austriacus","m212",0,0,0.04,0,0.35,0.02,0,0.62,0,1,0.2,0,0.21,0.1,0.17,0.01,0.74,0,0.08,0,0.01,0.88,0,0.01,0.16,0,0.64,0.01,0.28,0.01,0.65,0,0.06,0,0.19,0.46,0,0.29,0.99,0.71,0.37,0.21,0.03,0.11,0.62,0,0.4,0.06,0,0.01,0,0.01,0.57,0.12,0,0.2,0,0.87,0.44,0.82,0,0.01,0.35,0.53,0.35,0,0.01,0,0.06,0,0.04,0,0.03,0.03,0.08,0.04,0.01,0.05,0.47,0,0,0.51,0,0.01,0.52,0.06,0.09,0.53,0.13,0.09,0,0.99,0.57,0.56,0,0,0,0,0.16,0.05,0.67,0.44,0.51,0.05,0.07,0.23,0.71,0.9,0.71,0.78,0.01,0.28,0.17,0,0.29,0.9,0.79,0.25,0.01,0.58,0,0.79,1,0.49,0.74,1,0,0.06,0,0,0,0.05,0.41,0.55,0.67,0.08,0,0.02,0,0.45,0.05,0,0.02,0.13,0.09,0.45,0,0.19,0.03,0,0,0.72,0.06,0,0.04,0,0.09,0,0.17,0.88,0.35,0.02,0.67,0,0.07,0.03,0,0.06,0.47,0,0.95,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Plecotus austriacus",5739437
"Plecotus kolombatovici","Plecotus kolombatovici","m213",0.12,0.07,0,0,0,0,0.49,0.73,0.14,0.86,0,0.02,0.01,0,0,0,0.04,0,0.73,0,0,0.74,0.02,0.24,0,0,0.74,0,0,0,0.97,0.01,0.02,0,0.19,0.03,0.02,0,1,0,0.87,0.03,0,0,0.45,0,1,0,0,0.11,0,0,0.97,0,0,0.37,0,0.87,0.02,0.87,0,0,0,0,0.01,0,0,0,0,0,0,0.06,0.02,0.02,0,0,0,0,0.02,0,0.44,0.36,0.07,0.52,0.97,0.02,0,0.21,0,0,0,0.88,0.04,0.02,0,0,0,0,0,0.44,0.23,0.99,0,0.37,0,0,0.98,0.74,0.12,0.45,0,0.53,0.02,0,0.06,0.64,0.86,0,0.12,1,0,0.14,0.88,0.07,0.06,0.01,1,0.73,0,0,0,0.96,0.26,0.29,0.29,0.67,0.12,0,0,0.01,0,0,0,0.02,0,0.04,0,0,0,0,0,0.16,0,0,0.22,0,0,0,0.43,0.14,0.99,0.01,0.04,0,0,0,0.06,0.02,0.04,0,0.86,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Plecotus kolombatovici",5739445
"Plecotus macrobullaris","Plecotus macrobullaris","m214",0.03,0,0,0,0.18,0.27,0.11,0.88,0.03,0.95,0,0,0.33,0.04,0.45,0,0.62,0,0.34,0.01,0,0.95,0.07,0.04,0,0,0.85,0,0.04,0,0.67,0,0.11,0,0.39,0.4,0,0.42,0.95,0.5,0.53,0.16,0.02,0.03,0.72,0,0.84,0,0,0,0,0,0.72,0,0.07,0.45,0,0.81,0.52,0.99,0,0,0.07,0.45,0.19,0,0,0,0.03,0.01,0.01,0.01,0.02,0.21,0,0.23,0,0.07,0.54,0,0.1,0.45,0,0.1,0.44,0,0.02,0.5,0.37,0,0,1,0.37,0.67,0,0,0,0,0.12,0.19,0.53,0.63,0.43,0.22,0,0.33,0.7,0.76,0.68,0.75,0,0.48,0.26,0,0.13,0.92,0.9,0.04,0,0.89,0,0.69,0.95,0.27,0.61,0.46,0.18,1,0,0,0,0.26,0.3,0.44,0.57,0.13,0,0.2,0,0.5,0.01,0,0,0.52,0.34,0.39,0,0.04,0,0,0,0.8,0,0,0.05,0,0,0,0.19,0.68,0.6,0.06,0.52,0,0,0,0.05,0.18,0.56,0,0.97,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Plecotus macrobullaris",5787719
"Plecotus sardus","Plecotus sardus","m215",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0.58,0,0,0.57,0,0,1,1,0,0.32,0,0,0.39,0,1,0,0,0.93,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0.77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.3,0.82,0,0.81,0,0.81,0,0,0,0,0.87,0,0,0.81,1,0,0.48,1,0.6,0.46,0.53,0,0,1,0,0,0,0.44,0.43,0.43,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.62,1,0,0,0,0,0,0,0,0,0,0.98,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Plecotus sardus",5739436
"Plecotus teneriffae","Plecotus teneriffae","m216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,1,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Plecotus","Plecotus teneriffae",5218519
"Pteromys volans","Pteromys volans","m218",0,0,1,0,0.41,0,0,0.5,0,0,0,0,0.26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,1,0,1,0.01,0,0,0,0,0.6,0,0,0.09,0,0,0,0,0,0,0.24,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,1,0.3,1,0.24,0.22,0,0.75,0,0,0,0,0.68,0,0.01,0.12,0,0,0.56,0.1,0,0,0,0,0,0,0.07,0,0,0,0,0.11,0.01,0,0.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.7,0,0,0,0,1,0.99,0,0,0.86,0.98,1,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.99,0.18,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Pteromys","Pteromys volans",2437258
"Rhinolophus blasii","Rhinolophus blasii","m224",0.03,0.02,0,0,0.53,0,0.21,0.93,0.03,0.97,0.22,0,0.2,0,0.1,0,0.46,0,0.76,0,0,0.93,0.02,0.12,0.08,0,0.92,0,0,0,1,0,0.22,0,0.44,0.05,0,0,1,0,0.96,0.34,0,0,0.68,0,0.82,0,0,0.03,0,0,1,0,0,0.42,0,0.93,0.36,0.97,0,0.01,0.13,0.06,0.11,0,0,0,0,0.02,0,0.06,0.3,0.01,0,0,0,0,0.45,0,0.18,0.77,0.02,0.27,0.63,0.05,0,0.54,0.05,0.11,0,0.97,0.43,0.3,0,0,0,0,0.21,0.51,0.57,0.98,0.35,0.39,0.04,0.3,0.98,0.93,0.65,0.69,0,0.54,0.17,0,0.27,0.88,0.97,0,0.03,0.89,0,0.55,0.97,0.1,0.5,0.44,0.27,0.3,0,0,0,1,0.55,0.6,0.62,0.52,0.03,0,0,0.32,0,0,0,0.08,0,0.55,0,0,0,0,0,0.72,0,0,0.32,0,0.17,0,0.19,0.49,0.59,0.02,0.57,0.02,0,0,0.08,0.16,0.56,0.08,0.97,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus blasii",2432666
"Rhinolophus euryale","Rhinolophus euryale","m225",0,0,0,0,0.23,0,0,0.59,0,0.99,0.11,0,0.18,0.14,0.09,0.01,0.79,0,0.17,0,0.01,0.86,0,0.01,0.05,0,0.46,0.01,0.32,0.02,0.75,0,0.11,0,0.15,0.63,0,0.05,1,0.74,0.26,0.24,0.05,0.17,0.62,0,0.67,0.13,0,0.02,0,0.03,0.62,0.26,0,0.24,0,0.93,0.38,0.82,0,0.01,0.27,0.33,0.27,0,0.03,0.01,0.13,0,0.08,0.01,0.07,0.04,0.17,0.08,0,0.1,0.25,0,0.02,0.88,0,0.03,0.56,0.03,0.21,0.5,0.02,0.05,0.01,0.99,0.68,0.43,0,0,0,0,0.19,0.12,0.83,0.74,0.33,0.11,0.02,0.26,0.95,0.97,0.66,0.83,0.02,0.42,0.2,0,0.44,0.93,0.71,0.46,0.02,0.88,0,0.74,1,0.55,0.71,0.96,0.02,0.09,0,0,0,0.14,1,0.84,0.86,0.17,0,0,0,0.39,0,0,0.01,0.06,0.18,0.24,0,0.18,0.05,0,0,0.68,0.12,0,0.06,0,0.06,0,0.44,0.92,0.66,0.05,0.61,0,0.15,0.07,0.01,0.05,0.23,0,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","Rhinolophus euryale",2432621
