"db.species","col.species","x","m2","m3","m4","m11","m12","m13","m14","m15","m17","m19","m20","m21","m22","m23","m24","m25","m26","m28","m30","m36","m37","m38","m43","m45","m46","m49","m52","m53","m54","m56","m57","m58","m59","m62","m66","m68","m72","m73","m74","m76","m77","m80","m81","m83","m85","m86","m90","m91","m94","m96","m97","m98","m99","m100","m101","m103","m105","m110","m111","m114","m121","m125","m127","m128","m130","m131","m132","m133","m136","m137","m138","m140","m141","m142","m143","m146","m148","m149","m152","m153","m154","m156","m157","m158","m159","m160","m161","m162","m163","m164","m165","m166","m167","m169","m170","m171","m172","m174","m175","m176","m177","m178","m179","m180","m181","m182","m183","m185","m186","m187","m189","m191","m192","m195","m196","m197","m198","m201","m203","m206","m207","m208","m209","m210","m211","m212","m213","m214","m215","m216","m218","m224","m225","m226","m227","m228","m230","m232","m234","m235","m237","m241","m243","m244","m245","m246","m248","m249","m250","m251","m252","m253","m255","m262","m263","m265","m268","m273","m277","m278","m279","m280","m283","m284","m285","m286","m287","m290","m292","m293","m295","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Myotis brandtii","Myotis brandtii","m179",0,0,0.57,0,0.48,0.02,0,0.86,0,0.63,0.2,0,0.27,0,0.13,0,0.49,0,0.05,0,0,0.99,0,0,0.11,0,0.39,0,0.02,0,0.32,0,0.03,0,0.15,0.32,0,0.75,0.51,0.65,0.39,0.11,0,0,0.45,0.11,0.14,0.03,0.06,0,0,0,0.58,0,0,0.26,0,0.47,0.78,1,0,0.01,0.19,0.89,0.18,0,0,0,0,0,0,0,0.1,0.02,0,0.03,0.01,0.02,0.37,0,0,0.2,0,0,0.2,0.05,0,0.5,0.46,0.07,0,1,0.45,0.93,0.12,0.03,0,0.28,0.08,0.03,0.36,0.22,1,0.02,0.13,0.26,0.29,0.4,0.76,0.74,0,0.15,0.17,0,0.11,0.53,0.74,0,0,0.17,0,0.69,0.59,0.37,0.89,0.41,0,0.04,0,0,0.11,0.03,0.11,0.23,0.32,0.03,0,0.02,0,0.78,0.29,0,0.02,0.11,0.07,0.92,0.2,0.06,0,0.09,0.12,1,0.04,0,0.03,0,0.07,0,0.04,0.62,0.07,0.02,0.55,0,0,0.01,0,0.36,0.66,0,1,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis brandtii",7261875
"Myotis capaccinii","Myotis capaccinii","m180",0.02,0.01,0,0,0.3,0.01,0.1,0.73,0.02,0.97,0.06,0,0.28,0.13,0.13,0.07,0.39,0,0.39,0,0.03,0.76,0.04,0.04,0.03,0,0.58,0.03,0.19,0.02,0.76,0,0.3,0,0.24,0.22,0,0.07,0.99,0.53,0.47,0.28,0.01,0.25,0.41,0,0.95,0.12,0,0.05,0,0.05,0.81,0.1,0.01,0.7,0,0.86,0.4,0.88,0,0.01,0.01,0.22,0.14,0,0.02,0,0.15,0,0.05,0.02,0.17,0.08,0,0.07,0,0.07,0.32,0,0.07,0.88,0.01,0.1,0.55,0.01,0.13,0.35,0.13,0.04,0,0.95,0.72,0.45,0,0,0,0,0.19,0.17,0.43,0.89,0.21,1,0.02,0.78,0.93,0.9,0.73,0.44,0.06,0.67,0.29,0,0.19,0.84,0.79,0.21,0.07,0.96,0,0.44,0.98,0.22,0.4,0.4,0.1,0.23,0.01,0,0,0.36,0.41,0.42,0.45,0.29,0.01,0.01,0,0.36,0,0,0,0.09,0.18,0.3,0,0.07,0,0,0,0.69,0.04,0,0.12,0,0.06,0,0.19,0.41,0.75,0.05,0.51,0.01,0.02,0.09,0.04,0.12,0.3,0.06,0.96,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis capaccinii",2432430
"Myotis dasycneme","Myotis dasycneme","m181",0,0,0.53,0,0.73,0,0,0.89,0,0.74,0.32,0,0.44,0.01,0.05,0,0.44,0,0.01,0,0,0.95,0,0.01,0.25,0,0.4,0,0.11,0,0.32,0,0,0,0.07,0.15,0,0.65,0.74,0.46,0.61,0.04,0,0,0.33,0,0.05,0,0,0,0,0,0.87,0,0,0.58,0,0.72,0.42,0.96,0,0,0.24,0.9,0.51,0,0,0,0,0,0,0,0.17,0,0,0,0.06,0,0.47,0,0,0.11,0,0,0.54,0.07,0,0.45,0.43,0.12,0,0.95,0.91,0.89,0,0,0,0,0.05,0,0.26,0.15,0.63,0.01,1,0.73,0.24,0.52,0.76,0.68,0,0.2,0.41,0,0.07,0.73,0.98,0,0,0.03,0,0.68,0.85,0.4,0.67,0.27,0,0,0,0,0,0.02,0.03,0.12,0.16,0,0,0,0,0.42,0.28,0,0.03,0.04,0,0.94,0.02,0.06,0,0,0,0.96,0,0,0.03,0,0.07,0,0,0.6,0,0,0.84,0,0,0,0,0.08,0.88,0,0.95,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis dasycneme",2432452
"Myotis daubentonii","Myotis daubentonii","m182",0,0,0.28,0,0.32,0.02,0,0.72,0,0.78,0.13,0,0.37,0.09,0.18,0,0.31,0,0.05,0,0.01,0.84,0.02,0,0.07,0,0.38,0,0.16,0,0.41,0,0.07,0,0.11,0.24,0,0.41,0.63,0.7,0.27,0.12,0.02,0.13,0.27,0.03,0.25,0.04,0.02,0.01,0,0.01,0.67,0.07,0.02,0.77,0,0.58,0.47,0.92,0,0,0.01,0.73,0.25,0,0.01,0.01,0.05,0,0.03,0,0.09,0.02,0.05,0.04,0.01,0.02,0.37,0,0,0.33,0,0.01,0.46,0.01,0.04,0.29,0.49,0.04,0,0.88,0.75,0.77,0.03,0,0,0.09,0.11,0.02,0.28,0.32,0.38,0.11,0.22,1,0.46,0.57,0.79,0.43,0.01,0.34,0.35,0,0.12,0.69,0.74,0.15,0.01,0.35,0,0.4,0.77,0.24,0.48,0.28,0,0.05,0,0,0.03,0.04,0.13,0.21,0.26,0.04,0,0.01,0,0.46,0.17,0,0,0.11,0.07,0.61,0.07,0.09,0.01,0.02,0.04,0.89,0.02,0,0.02,0,0.03,0,0.05,0.4,0.21,0.02,0.63,0,0.05,0.02,0,0.17,0.47,0.01,0.93,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis daubentonii",2432439
"Myotis emarginatus","Myotis emarginatus","m183",0,0,0,0,0.24,0.01,0.02,0.61,0,0.99,0.18,0,0.19,0.12,0.17,0.02,0.46,0,0.11,0,0.02,0.88,0.02,0.02,0.14,0,0.59,0.01,0.43,0,0.65,0,0.08,0,0.13,0.35,0,0.17,1,0.72,0.33,0.18,0.02,0.22,0.42,0,0.45,0.06,0,0.01,0,0.01,0.68,0.22,0.01,0.33,0,0.93,0.28,0.87,0,0.01,0.24,0.48,0.45,0,0.02,0.02,0.17,0,0.07,0.01,0.04,0.03,0.1,0.04,0,0.05,0.44,0,0.02,0.69,0,0.03,0.73,0.07,0.19,0.37,0.21,0.11,0,0.99,0.65,0.51,0,0,0,0,0.12,0.07,0.48,0.66,0.31,0.09,0.05,0.33,1,0.97,0.72,0.56,0.01,0.4,0.2,0,0.21,0.93,0.76,0.38,0.02,0.71,0,0.48,1,0.32,0.46,0.61,0.03,0.07,0,0,0,0.09,0.34,0.44,0.5,0.14,0,0,0,0.25,0.02,0,0.02,0.11,0.1,0.37,0,0.12,0.02,0,0,0.71,0.05,0.01,0.06,0,0.1,0,0.19,0.62,0.45,0.03,0.7,0,0.11,0.04,0.01,0.05,0.36,0.01,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis emarginatus",2432470
"Myotis myotis","Myotis myotis","m185",0,0,0.05,0,0.33,0.02,0.02,0.63,0,1,0.17,0,0.2,0.1,0.16,0.01,0.47,0,0.09,0,0.02,0.88,0.01,0.01,0.18,0,0.6,0,0.4,0.01,0.64,0,0.05,0,0.12,0.31,0,0.26,1,0.71,0.34,0.15,0.02,0.18,0.43,0,0.38,0.05,0,0,0,0.02,0.66,0.18,0.01,0.31,0,0.94,0.28,0.88,0,0.01,0.25,0.54,0.47,0,0.02,0.02,0.13,0,0.05,0,0.03,0.02,0.09,0.04,0.01,0.05,0.46,0,0.01,0.55,0,0.02,0.71,0.05,0.15,0.39,0.26,0.09,0,1,0.62,0.56,0,0,0,0,0.11,0.05,0.47,0.52,0.33,0.07,0.09,0.32,0.76,1,0.7,0.55,0,0.33,0.19,0,0.18,0.89,0.78,0.32,0,0.6,0,0.51,1,0.34,0.47,0.6,0.02,0.06,0,0,0,0.07,0.28,0.38,0.46,0.1,0,0.01,0,0.27,0.04,0,0.02,0.1,0.08,0.43,0,0.12,0.02,0,0,0.72,0.04,0,0.05,0,0.08,0,0.15,0.61,0.38,0.02,0.7,0,0.09,0.03,0.01,0.05,0.44,0.01,0.96,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis myotis",2432416
"Myotis mystacinus","Myotis mystacinus","m186",0,0,0.29,0,0.37,0.02,0,0.79,0,0.85,0.16,0,0.23,0.05,0.15,0,0.43,0,0.06,0,0,0.91,0.01,0,0.13,0,0.44,0.01,0.18,0,0.44,0,0.05,0,0.11,0.31,0,0.46,0.68,0.74,0.31,0.12,0.01,0.09,0.37,0.06,0.25,0.04,0,0.01,0,0.01,0.69,0.05,0.01,0.34,0,0.58,0.48,0.97,0,0.01,0.14,0.77,0.32,0,0.01,0.01,0.05,0,0.03,0,0.07,0.02,0.04,0.03,0.01,0.03,0.42,0,0,0.34,0,0.01,0.5,0.04,0.04,0.36,0.51,0.08,0,0.93,0.52,0.8,0.01,0.01,0,0.1,0.09,0.03,0.35,0.33,0.52,0.05,0.11,0.37,0.47,0.58,1,0.59,0.01,0.22,0.2,0,0.15,0.74,0.79,0.13,0.01,0.36,0,0.55,0.81,0.29,0.65,0.4,0,0.05,0,0,0.06,0.04,0.16,0.25,0.33,0.05,0,0.02,0,0.47,0.18,0,0.02,0.1,0.07,0.67,0.11,0.11,0.01,0.06,0.07,0.96,0.03,0,0.03,0,0.06,0,0.08,0.5,0.2,0.02,0.65,0,0.03,0.02,0,0.16,0.54,0.01,0.98,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis mystacinus",9754263
"Myotis nattereri","Myotis nattereri","m187",0,0,0.28,0,0.38,0.02,0.01,0.78,0,0.87,0.18,0,0.22,0.06,0.13,0.01,0.65,0,0.08,0,0.01,0.91,0,0.01,0.1,0,0.42,0,0.13,0,0.43,0,0.04,0,0.16,0.44,0,0.45,0.75,0.68,0.39,0.21,0.02,0.11,0.53,0,0.3,0.04,0,0,0,0.01,0.65,0.1,0,0.28,0,0.66,0.63,0.97,0,0.01,0.21,0.73,0.2,0,0.01,0,0.07,0,0.01,0,0.08,0.03,0.05,0.04,0.01,0.03,0.39,0,0.01,0.38,0,0.01,0.33,0.04,0.08,0.53,0.3,0.06,0,0.96,0.5,0.75,0.02,0,0,0.04,0.13,0.06,0.52,0.39,0.67,0.04,0.13,0.26,0.48,0.6,0.78,1,0,0.24,0.18,0,0.22,0.74,0.82,0.16,0.01,0.4,0,0.83,0.86,0.48,0.88,0.58,0.01,0.07,0,0,0.02,0.06,0.26,0.39,0.49,0.07,0,0.02,0,0.62,0.14,0,0.02,0.11,0.07,0.66,0.03,0.15,0.02,0.01,0.01,0.9,0.04,0,0.03,0,0.06,0,0.16,0.78,0.27,0.02,0.59,0,0.06,0.02,0,0.11,0.59,0,0.98,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis nattereri",2432389
"Myotis punicus","Myotis punicus","m189",0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0.22,0,0.48,0,0,0.74,0,0,1,0.99,0,0.5,0,0,0.16,0,1,0,0,0.63,0,0,0.23,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0.63,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0.16,0,0,0.36,0,0.38,0.86,0,0.99,0.3,1,0,0,0,0,1,0,0,0.99,1,0,0.58,1,0.45,0.33,0.58,0,0,0.15,0,0,0,0.43,0.45,0.45,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.74,1,0,0,0,0,0,0,0,0,0,0.99,"found species on GBIF","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis punicus",4266337
"Neomys anomalus","Neomys anomalus","m191",0,0,0.03,0,0.3,0.03,0.03,0.77,0,1,0.19,0,0.44,0.2,0.23,0.02,0.55,0,0.14,0,0.02,0.89,0.03,0.02,0.16,0,0.61,0,0.33,0,0.72,0,0.09,0,0.16,0.41,0,0.25,1,0.66,0.4,0.21,0.06,0.25,0.52,0,0.55,0.08,0,0,0,0.02,0.77,0.24,0.01,0.73,0,0.95,0.33,1,0,0.01,0.16,0.54,0.36,0,0.02,0.02,0.19,0,0.03,0.01,0.05,0.04,0.12,0.07,0.01,0.06,0.48,0,0.03,0.7,0,0.04,0.67,0.06,0.2,0.45,0.22,0.12,0.01,1,0.9,0.59,0,0,0,0,0.13,0.08,0.57,0.78,0.37,0.16,0.1,0.57,0.93,1,0.78,0.65,0,1,0.46,0,0.26,0.95,0.75,0.33,0,0.7,0,0.54,1,0.36,0.54,0.56,0.03,0.12,0,0,0,0.12,0.36,0.49,0.57,0.15,0,0.01,0,0.32,0.04,0,0.02,0.16,0.15,0.45,0,0.11,0.03,0,0,0.82,0.07,0.01,0.07,0,0.1,0,0.22,0.62,0.54,0.04,0.66,0,0.15,0.05,0.01,0.08,0.45,0.01,1,"found species on GBIF","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Neomys","Neomys anomalus",7825895
