db.species,col.species,check,kingdom,phylum,class,order,family,genus,gbif.species,gbif.species.id,x,b1,b2,b3,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b47,b48,b50,b51,b53,b54,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b75,b76,b77,b78,b80,b81,b82,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99,b100,b103,b104,b105,b106,b107,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b129,b132,b133,b134,b135,b137,b139,b140,b141,b143,b144,b145,b146,b147,b148,b149,b150,b151,b152,b153,b154,b155,b156,b157,b158,b159,b160,b161,b162,b166,b168,b169,b170,b173,b174,b175,b177,b178,b179,b180,b181,b182,b183,b184,b185,b186,b187,b188,b189,b190,b191,b192,b194,b195,b198,b199,b200,b201,b203,b205,b206,b207,b208,b209,b212,b213,b214,b217,b218,b219,b220,b223,b224,b225,b226,b227,b228,b229,b230,b231,b232,b233,b234,b235,b238,b239,b240,b241,b242,b243,b244,b245,b247,b248,b249,b251,b252,b253,b254,b256,b257,b258,b259,b260,b261,b262,b263,b264,b265,b266,b267,b268,b269,b270,b271,b272,b273,b275,b276,b277,b280,b281,b282,b283,b284,b285,b286,b287,b288,b289,b290,b291,b292,b294,b297,b298,b300,b301,b302,b303,b304,b305,b306,b307,b308,b309,b310,b311,b312,b313,b314,b315,b316,b318,b319,b320,b321,b323,b324,b325,b326,b328,b332,b333,b334,b336,b337,b339,b340,b341,b342,b343,b345,b347,b348,b349,b350,b351,b352,b353,b354,b355,b356,b357,b359,b361,b362,b363,b364,b365,b367,b368,b370,b371,b372,b373,b374,b375,b376,b377,b378,b379,b380,b381,b383,b384,b385,b386,b387,b388,b389,b390,b391,b392,b393,b395,b396,b397,b398,b399,b400,b401,b402,b403,b404,b406,b407,b410,b411,b412,b413,b414,b415,b416,b417,b419,b420,b421,b423,b424,b425,b426,b428,b429,b431,b432,b433,b434,b435,b436,b437,b438,b439,b440,b441,b442,b443,b444,b445,b446,b447,b448,b449,b450,b451,b452,b453,b455,b456,b458,b459,b460,b461,b462,b463,b464,b467,b468,b469,b470,b472,b473,b474,b476,b477,b478,b479,b480,b481,b482,b483,b484,b485,b486,b488,b489,b490,b491,b492,b493,b495,b498,b499,b500,b501,b502,b504,b506,b507,b508,b509,b510,b513
Accipiter brevipes,Accipiter brevipes,found species on GBIF,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter brevipes,2480578,b100,0,0,0,0.17,0.07,0.03,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.12,0.06,0.01,0.6,0.13,0.01,0.08,0.09,0.02,0.1,0.15,0.03,0.64,0.3,0.02,0.02,0,0.06,0,0,0,0,0.02,0,0,0.17,0.05,0,0.01,0.06,0.2,0.01,0.04,0.02,0,0.01,0.03,0.01,0.02,0,0,0,0,0,0,0,0,0.01,0,0.05,0.54,0,0.08,0.55,0.02,0.03,0.43,0.14,0.03,0.81,0.07,0,0,0.14,1,0.72,0.52,0,0.2,0.01,0,0.15,0.21,0.31,0.28,0.33,0.65,0.16,0.02,0,0.88,0.18,0.19,0,0.45,0,0,0.01,0.09,0.02,0.06,0,0,0,0.65,0.6,0,0,0.18,0.27,0,0,0.03,0,0.1,0,0.09,0.04,0,0.03,0.04,0.02,0.44,0.21,0,0.36,0,0,0,0.09,0.02,0.02,0.12,0,0,0,0.03,0,0,0,0,0.04,0,0,0.06,0,0,0.09,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0,0,0.03,0,0,0.01,0,0.11,0,0.06,0,0.03,0,0.05,0,0,0,0,0,0,0.26,0.34,0,0.98,0.36,0.13,0.71,0,0.42,0.59,0.76,0,0.64,0.09,0,0,0,0.62,0.06,0.68,0.1,0,0.61,0.54,0.66,0,0.24,0,0.09,0,0.55,0.75,1,0.55,0.5,0.35,0.16,0.53,0.45,0,0.23,0.49,0.36,0.26,0.44,0.01,0,0.57,0.88,0.5,0.09,0.32,0.29,0.59,0.52,0.59,0.61,0,0.2,0.2,0.56,0,0.65,0,0,0,0.07,0.15,0.21,0,0.13,0,0.43,0.08,0.14,0.05,0.72,0.09,0,0.76,0.31,0.19,0.09,0.16,0.02,0.03,0.07,0,0.19,0.01,0.17,0,0.2,0.19,0.83,0.34,0,0.32,0.12,0.6,0.21,0.24,0,0,0.97,0.36,0.99,0.89,0.61,0.44,0.02,0.56,0.53,0,0,0,0,0.99,0.04,0.06,0.16,0.07,0.64,0.04,0.7,0.01,0,0,0.29,0.45,0.47,0.45,0.58,0,0.27,0.15,0.42,0,0.07,0.03,0.7,0.55,0.52,0.24,0,0.09,0.72,0.71,0.61,0,0,0.2,0.03,0.31,0.14,0.61,0.65,0.06,0,0.55,0.38,0.46,0,0.69,0,0.98,0,0.04,0,0.62,0.43,1,0.53,0.07,0.5,0,0.54,0.31,0.23,0.01,0.86,0.33,0,0,0,0.45,0.04,0.66,0,0,0,0,0.05,0,0,0.01,0,0.98,0,0,0.01,0.67,0,0.99,0.72,0,0,0.29,0,0.58,0,0,0.68,0.44,0,0.55,0.24,0,0,0,0,0,0
Acrocephalus agricola,Acrocephalus agricola,found species on GBIF,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus agricola,2493137,b353,0,0.08,0,0.96,0.77,0.29,0.13,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.55,0.23,0,0.91,0.63,0.28,0.52,0.5,0,0.5,0.65,0.47,0.78,0.28,0.16,0.18,0,0.5,0.15,0,0,0,0.53,0,0,0.57,0.19,0.15,0.25,0.79,1,0.29,0.36,0.37,0,0.15,0.2,0.18,0.21,0,0,0,0,0,0.12,0,0,0.04,0.02,0.63,0.75,0,0.06,0.97,0.17,0,0.46,0.1,0,0.96,0.47,0.17,0.25,0.54,0.41,0.79,0.4,0,0.27,0.17,0,0.02,0.1,0.1,0.08,0.23,0.68,0.53,0.16,0.2,0.8,0,0.47,0,0.19,0,0,0.02,0.11,0,0.04,0,0,0,0.68,0.78,0,0.26,0.73,0.7,0.03,0.01,0.42,0,0.48,0,0.48,0.15,0,0.15,0.13,0.08,0.58,0.6,0.2,0.7,0,0.06,0.04,0.17,0.13,0,0.56,0,0,0.06,0.1,0,0.06,0.07,0,0.21,0.07,0.14,0.49,0.15,0,0.23,0,0,0,0,0,0,0.04,0,0,0,0,0.06,0,0,0,0,0,0.48,0.08,0.1,0.1,0,0.25,0,0,0.13,0,0.34,0,0.34,0,0.08,0.15,0.38,0,0,0,0,0,0,0.17,0.54,0,0.96,0.42,0.12,0.81,0,0.33,0.49,0,0,0.51,0,0,0,0.04,0.57,0.12,0.79,0.55,0,0.66,0.4,0.7,0,0.11,0,0.48,0,0.6,0.89,0.99,0.79,0.56,0.03,0.18,0.77,0.61,0.01,0.24,0.77,0.75,0.44,0.59,0.07,0,0.66,0.9,0.6,0,0.57,0.16,0.66,0.32,0.66,0.7,0,0.7,0.25,0.69,0,0.44,0.15,0,0,0,0.18,0,0,0.27,0,0.45,0,0,0.01,0.81,0.14,0.14,0.87,0.32,0.12,0.11,0.67,0.35,0.33,0.5,0.12,0.84,1,0.77,0.1,0.73,0.81,0.78,0.3,0,0.9,0.39,0.75,0.17,0.32,0,0.14,0.99,0.66,0.99,0.99,0.83,0.01,0,0.06,0.06,0,0,0,0,0.96,0.15,0,0.17,0.28,0.74,0.3,0.6,0.18,0,0,0,0.44,0.59,0.35,0.44,0,0.17,0.54,0.13,0,0.04,0.39,0.79,0.4,0.73,0.43,0,0.12,0.81,0.81,0.59,0,0,0,0,0.34,0.66,0.75,0.66,0,0,0.59,0.2,0.3,0,0.7,0,0.99,0.02,0,0,0.68,0.96,1,0.4,0.31,0.65,0,0.67,0.16,0.02,0,0.96,0,0,0,0,0.54,0.34,0.7,0,0,0.15,0,0.34,0,0,0.02,0,0.94,0,0,0.05,0.69,0,0.94,0.27,0,0,0.43,0,0.56,0,0,0.66,0.59,0,0.66,0.04,0,0,0,0,0,0
Acrocephalus arundinaceus,Acrocephalus arundinaceus,found species on GBIF,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus arundinaceus,2493128,b357,0.04,0.11,0,0.7,0.53,0.25,0.15,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02,0,0,0.52,0.26,0.04,0.16,0.11,0.06,0.22,0.46,0.22,0.42,0.25,0.01,0.02,0,0.31,0.11,0.04,0,0,0.14,0,0,0.02,0.02,0.19,0.08,0.51,0.86,0.2,0.38,0.27,0,0.01,0.17,0.05,0.53,0.02,0,0.01,0.01,0.01,0.26,0.05,0.15,0.24,0.01,0.29,0.69,0.05,0.3,0.54,0.1,0,0.08,0,0.02,0.38,0.37,0.2,0.01,0.3,0.05,0.81,0.04,0.02,0.16,0.01,0.01,0.02,0.01,0.12,0.09,0.08,0.46,0.06,0,0.14,0.79,0.03,0.04,0,0.2,0.03,0,0.09,0.28,0,0,0,0.16,0,0.44,0.61,0,0.32,0.68,0.23,0.03,0.01,0.22,0,0.4,0,0.4,0.04,0.08,0.06,0.02,0.01,0.21,0.06,0.01,0.33,0,0.01,0.02,0.12,0.01,0,0.48,0.05,0.08,0.1,0.1,0,0.01,0.02,0.02,0.09,0.01,0.08,0.25,0.17,0.01,0.13,0,0.01,0,0,0,0,0.02,0.01,0,0,0,0.08,0,0.03,0,0.04,0,0.26,0,0,0.05,0,0.03,0.01,0,0,0,0.21,0.01,0.09,0,0.01,0.01,0.16,0,0,0,0,0.01,0,0,0.65,0,0.85,0.39,0.08,0.94,0,0.36,0.35,0,0,0.78,0.19,0.03,0.06,0.09,0.42,0.28,0.74,0.12,0.06,0.31,0.16,0.49,0,0.08,0.02,0.38,0,0.27,0.37,0.65,0.72,0.62,0.16,0.18,0.76,0.21,0.08,0.37,0.68,0.45,0.14,0.16,0.02,0.01,0.36,0.77,0.41,0.01,0.34,0.16,0.44,0.12,0.45,0.47,0,0.41,0.27,0.32,0,0.66,0.18,0,0,0.05,0.37,0.25,0.02,0.24,0,0.62,0.01,0,0.01,0.86,0.32,0.21,0.7,0.47,0.19,0.2,0.59,0.24,0.16,0.08,0.02,0.55,0,0.72,0.16,0.54,1,0.14,0.03,0.24,0.47,0.49,0.73,0.13,0.39,0.02,0.15,0.84,0.63,0.78,0.61,0.33,0.18,0.01,0.21,0.22,0,0.09,0.03,0,0.78,0.43,0.1,0.02,0.26,0.8,0.24,0.54,0.15,0,0,0.06,0.35,0.75,0.3,0.4,0,0,0.01,0.17,0,0,0.13,0.77,0.08,0.59,0.49,0.01,0.38,0.85,0.84,0.65,0,0,0.01,0,0.51,0.42,0.7,0.3,0.36,0.08,0.15,0.03,0.2,0.02,0.8,0.06,0.89,0.07,0.02,0,0.43,0.42,0.92,0.33,0.01,0.37,0.11,0.33,0.04,0.04,0,0.58,0.03,0,0.07,0.03,0.05,0.33,0.44,0,0,0.16,0,0.32,0.06,0,0.1,0.02,0.81,0.14,0,0.12,0.49,0,0.72,0.7,0,0.02,0.59,0,0.64,0,0.05,0.42,0.09,0,0.45,0.15,0,0.08,0,0,0,0
Acrocephalus dumetorum,Acrocephalus dumetorum,found species on GBIF,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus dumetorum,2493145,b355,0.04,0.16,0,0.08,0.23,0.2,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.34,0,0,0,0,0,0,0.03,0.03,0.33,0.28,0,0,0,0.07,0.2,0.27,0,0,0.02,0,0,0,0.01,0.25,0.05,0.27,0.28,0.24,0.2,0.25,0,0,0.13,0,0.28,0.02,0,0.02,0.02,0.05,0.26,0.12,0.22,0.24,0,0.26,0.97,0,0.06,0.42,0.03,0,0,0,0,0.11,0.05,0.09,0,0.07,0,0.94,0,0.4,0.26,0.01,0,0,0.01,0,0,0,0.1,0.01,0,0.89,0.99,0,0,0,0.02,0.35,0,0.46,0.86,0,0,0,0,0,0.08,0.55,0,0.28,0.1,0.11,0.01,0,0.05,0,0.04,0,0.06,0,0,0.02,0,0,0,0,0,0.13,0,0.04,0.03,0.05,0,0,0.94,0.5,0.2,0.05,0.08,0,0.03,0.05,0.38,0.05,0.01,0.66,0.26,0.89,0.02,0.05,0,0,0,0,0,0.08,0.03,0.03,0,0,0,0.06,0,0.02,0,0.02,0,0.07,0,0,0.04,0,0,0.01,0,0,0,0.05,0.02,0.01,0,0,0,0.04,0,0,0,0,0,0,0.01,0.81,0,0.71,0.08,0,0.98,0,0.03,0.01,0,0,0.88,0.85,0.36,0.61,0.48,0.06,0.89,0.91,0.12,0,0.08,0,0.13,0,0,0,0.03,0,0.01,0.18,0.19,0.95,0.87,0.01,0.39,0.98,0.01,0.46,0.86,0.33,0.62,0,0,0,0,0.03,0.64,0.09,0,0.13,0,0.13,0,0.13,0.13,0,0.05,0.01,0.05,0,0.92,0.12,0,0,0,0.88,0.04,0.31,0.06,0,0.95,0,0,0.01,0.94,0.87,0.88,0.95,0.88,0,0,0.9,0.21,0.02,0,0.01,0.37,0,0.18,1,0.37,0.13,0,0,0,0.85,0.98,0.9,0,0.87,0.4,0.81,0.92,0.95,0.88,0.98,0.3,0,0,0,0,0,0,0,0,0.88,0.95,0.03,0,0.84,0.98,0.46,0.01,0.48,0.04,0,0,0.06,0.95,0.09,0.01,0,0,0,0,0,0,0.01,0.7,0,0.34,0.95,0.2,0.89,0.98,0.94,0.39,0,0,0,0,0.95,0.04,0.73,0.08,0.32,0,0.01,0,0,0.33,0.95,0,0.91,0.23,0,0,0.1,0.41,1,0.09,0,0.11,0,0.09,0,0,0,0.87,0,0,0.56,0.28,0,0.06,0.06,0,0,0.78,0.08,0.95,0.44,0,0.46,0.29,0.51,0.55,0,0.49,0.1,0,0.49,0.23,0,0,0.95,0,0.61,0,0,0.09,0,0,0.08,0,0,0,0,0,0,0
Acrocephalus melanopogon,Acrocephalus melanopogon,found species on GBIF,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus melanopogon,2493124,b350,0,0,0,0.74,0.48,0.07,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.07,0.02,0,0.42,0.53,0.14,0.37,0.36,0.09,0.49,0.71,0.25,0.32,0.16,0.04,0.06,0,0.15,0,0,0,0,0.13,0,0,0.04,0.02,0.01,0.03,0.29,0.85,0.04,0.21,0.08,0,0.01,0.04,0.1,0.26,0,0,0,0,0,0.01,0,0,0.03,0.04,0.07,0.64,0.04,0.22,0.55,0.04,0,0.19,0,0.04,0.68,0.52,0.12,0.01,0.44,0.18,0.9,0.12,0,0.08,0.02,0.01,0.02,0.01,0.29,0.14,0.17,0.65,0.12,0.01,0,0.8,0.15,0.09,0,0.39,0,0,0.01,0.09,0,0.01,0,0.21,0,0.65,0.61,0,0,0.82,0.17,0.02,0.01,0.22,0,0.58,0.02,0.54,0.05,0.07,0.01,0.03,0.02,0.39,0.24,0.04,0.4,0,0,0,0.08,0.03,0,0.24,0,0,0.02,0.11,0,0,0,0,0.02,0,0,0.07,0,0,0.09,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.01,0,0,0.08,0.01,0.01,0.02,0,0.31,0,0.18,0,0.02,0.01,0.25,0,0,0,0,0,0,0,0.47,0,0.94,0.51,0.2,0.95,0,0.61,0.73,0,0,0.84,0.04,0,0,0.01,0.62,0.06,0.78,0.19,0.12,0.55,0.37,0.69,0,0.2,0.02,0.53,0,0.56,0.68,0.91,0.77,0.63,0.19,0.12,0.72,0.33,0.01,0.18,0.73,0.3,0.25,0.42,0.04,0.02,0.57,0.84,0.54,0.02,0.45,0.36,0.6,0.26,0.6,0.65,0,0.58,0.5,0.56,0,0.54,0.03,0,0,0.03,0.13,0.2,0,0.18,0,0.49,0.02,0,0,0.98,0.08,0.01,0.61,0.31,0.44,0.48,0.28,0.09,0.17,1,0,0.38,0.03,0.8,0,0.55,0.81,0.39,0.11,0.42,0.27,0.17,0.69,0.15,0.21,0,0.02,0.92,0.51,0.86,0.51,0.35,0.47,0.03,0.54,0.57,0,0.18,0.05,0,0.91,0.25,0.08,0.06,0.06,0.81,0.02,0.93,0.05,0,0,0.12,0.45,0.59,0.32,0.64,0,0,0.04,0.34,0,0.01,0.28,0.86,0.22,0.56,0.22,0,0.12,0.95,0.94,0.69,0,0,0.02,0,0.28,0.73,0.82,0.47,0.26,0.16,0.41,0.14,0.47,0,0.89,0.05,0.91,0.01,0.05,0,0.64,0.3,0.95,0.5,0.01,0.44,0.19,0.35,0.09,0.08,0,0.67,0.11,0,0,0,0.19,0.44,0.66,0,0,0.01,0,0.08,0,0,0.02,0,0.92,0.08,0,0.01,0.67,0,0.87,0.87,0,0.01,0.34,0,0.59,0,0.17,0.5,0.21,0,0.64,0.24,0,0.13,0,0,0,0
Acrocephalus paludicola,Acrocephalus paludicola,found species on GBIF,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus paludicola,2493114,b351,0,0.07,0,1,0.96,0.8,0.31,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0.8,0.03,0.06,0.01,0.03,0,0.04,0.82,0.2,0.96,0.82,0,0.01,0,0.99,0.14,0,0,0,0.11,0,0,0,0.02,0.36,0.22,0.98,1,0.62,0.97,0.84,0,0.03,0.34,0.27,0.99,0,0,0,0,0,0.84,0,0.11,0.66,0,0.68,0.85,0,0.51,0.89,0.55,0,0,0,0,0.25,0.21,0.02,0,0.05,0,0.84,0,0,0.79,0.09,0,0.01,0,0,0.04,0,0.03,0,0,0.19,0.85,0,0,0,0.01,0,0,0.04,0.59,0,0,0,0,0,0.02,0.65,0,0.95,0.84,0.04,0.13,0,0.19,0,0.21,0,0.21,0,0,0.06,0.01,0.01,0,0,0,0.05,0,0.01,0.06,0.2,0,0,0.83,0.01,0.35,0.22,0.05,0,0,0.03,0,0.21,0.08,0.05,0.63,0.49,0,0.19,0,0,0,0,0,0,0.03,0,0,0,0,0.09,0,0,0,0,0,0.2,0,0.01,0.1,0,0,0,0,0.01,0,0.14,0.01,0.07,0,0.06,0.05,0.17,0,0,0,0,0,0,0.01,0.8,0,0.85,0.05,0,0.85,0,0.03,0.04,0,0,0.84,0.36,0,0,0.04,0.05,0.56,0.84,0.04,0,0.04,0,0.05,0,0,0,0.22,0,0,0.51,0.82,0.84,0.8,0.03,0.57,0.86,0.16,0.05,0.8,0.83,0.63,0,0,0,0,0.03,0.83,0.03,0,0.21,0,0.05,0,0.05,0.05,0,0.06,0.04,0.03,0,0.85,0.06,0,0,0,0.81,0.68,0,0.12,0,0.84,0,0,0,0.86,0.78,0.65,0.85,0.79,0,0,0.99,0.8,0.69,0,1,0.99,0.03,0.84,0.41,0.83,0.99,0,0,0,0.84,0.85,0.84,0,0.82,0,0.36,0.85,0.84,0.85,0.84,0.69,0,0,0,0,0,0,0,0,0.84,0.82,0.3,0,0.78,0.86,0.82,0.3,0.65,0,0,0,0.03,0.83,0.04,0.01,0,0,0,0,0,0,0.07,0.82,0,0.83,0.83,0,0.83,0.86,0.86,0.84,0,0,0,0,0.83,0.74,0.84,0.04,0.49,0,0.01,0,0,0,0.84,0,0.86,0.1,0,0,0.03,0.66,0.87,0.02,0,0.06,0,0.04,0,0,0,0.76,0,0,0.01,0,0,0.23,0.04,0,0,0.18,0,0.79,0.02,0,0.11,0,0.71,0.01,0,0.16,0.06,0,0.71,0.71,0,0,0.82,0,0.83,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0
Acrocephalus palustris,Acrocephalus palustris,found species on GBIF,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus palustris,2493136,b356,0.03,0.16,0,0.41,0.39,0.21,0.16,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0.45,0.09,0.02,0.05,0.06,0.01,0.09,0.21,0.1,0.38,0.28,0,0.01,0,0.28,0.18,0.13,0,0,0.1,0,0,0.01,0.02,0.23,0.06,0.47,0.61,0.22,0.31,0.26,0,0,0.19,0.03,0.5,0.02,0,0.01,0.01,0.02,0.29,0.07,0.23,0.29,0,0.31,0.88,0,0.26,0.46,0.08,0,0.02,0,0,0.21,0.16,0.12,0,0.15,0.03,0.89,0.02,0.14,0.18,0.01,0,0.02,0.02,0.02,0.05,0.02,0.29,0.04,0,0.29,0.89,0.01,0.03,0,0.08,0.11,0,0.24,0.53,0,0,0,0.01,0,0.27,0.7,0,0.34,0.41,0.23,0.01,0,0.13,0,0.17,0,0.18,0.02,0,0.04,0,0.01,0.07,0.02,0.01,0.29,0,0.03,0.03,0.08,0,0,0.77,0.16,0.08,0.08,0.14,0,0.02,0.07,0.1,0.07,0.01,0.23,0.33,0.37,0.01,0.08,0,0.01,0,0,0,0.02,0.03,0.02,0,0,0,0.06,0,0.02,0,0.01,0,0.16,0,0,0.03,0,0,0.01,0,0,0,0.12,0.02,0.05,0,0,0,0.09,0,0,0,0,0,0,0.02,0.71,0,0.67,0.23,0.01,0.93,0,0.22,0.18,0,0,0.89,0.36,0.12,0.22,0.25,0.23,0.54,0.88,0.15,0,0.22,0.05,0.32,0,0.01,0,0.17,0,0.11,0.23,0.47,0.85,0.76,0.16,0.25,0.92,0.2,0.2,0.63,0.61,0.57,0.02,0.04,0,0,0.2,0.67,0.29,0,0.26,0.04,0.32,0.02,0.32,0.33,0,0.2,0.14,0.19,0,0.9,0.22,0,0,0.06,0.63,0.24,0.08,0.23,0,0.86,0,0,0.02,0.93,0.59,0.43,0.88,0.66,0.03,0.03,0.73,0.25,0.11,0.04,0.01,0.71,0,0.52,0.29,1,0.35,0.07,0.01,0.09,0.7,0.79,0.81,0.1,0.64,0.11,0.28,0.92,0.82,0.88,0.89,0.34,0.05,0,0.06,0.05,0,0,0,0,0.84,0.67,0.12,0.01,0.48,0.92,0.46,0.39,0.2,0.01,0,0.01,0.23,0.86,0.27,0.21,0,0.01,0.01,0.02,0,0,0.07,0.8,0.06,0.64,0.77,0.04,0.63,0.93,0.92,0.71,0,0,0,0,0.78,0.23,0.69,0.26,0.32,0,0.1,0.02,0.07,0.1,0.89,0,0.87,0.16,0,0,0.28,0.44,1,0.21,0.01,0.27,0,0.29,0.02,0.01,0,0.59,0.01,0,0.18,0.08,0.02,0.18,0.25,0,0,0.34,0.01,0.55,0.2,0,0.25,0.08,0.71,0.31,0,0.29,0.28,0,0.71,0.51,0,0.01,0.8,0,0.72,0,0.03,0.24,0.02,0,0.26,0.01,0,0,0,0,0,0
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,found species on GBIF,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus schoenobaenus,2493129,b352,0.11,0.23,0,0.42,0.35,0.19,0.17,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,0,0,0.48,0.1,0.02,0.04,0.03,0.01,0.06,0.13,0.1,0.3,0.14,0,0.01,0,0.28,0.24,0.22,0,0.01,0.16,0.01,0,0.01,0.07,0.29,0.1,0.49,0.64,0.2,0.27,0.31,0,0.02,0.3,0.02,0.56,0.05,0,0.03,0.05,0.07,0.29,0.1,0.31,0.33,0,0.3,0.57,0,0.24,0.39,0.09,0,0.02,0,0,0.15,0.14,0.27,0.01,0.2,0.02,0.56,0.02,0.21,0.1,0,0,0.01,0.06,0.01,0.03,0.02,0.47,0.05,0,0.35,0.76,0,0.03,0.01,0.15,0.21,0.01,0.18,0.35,0,0.01,0,0.06,0,0.36,0.7,0,0.38,0.31,0.33,0.01,0,0.13,0,0.15,0,0.17,0.02,0.02,0.14,0.02,0.02,0.09,0.02,0,0.46,0,0.14,0.13,0.25,0.01,0.02,0.54,0.23,0.08,0.28,0.16,0.01,0.07,0.26,0.16,0.21,0.01,0.28,0.32,0.4,0.01,0.25,0,0.04,0,0.02,0,0.06,0.12,0.07,0,0.01,0.01,0.24,0,0.08,0,0.09,0,0.32,0,0.01,0.09,0,0.01,0.02,0,0.01,0,0.24,0.08,0.06,0,0.02,0.01,0.12,0,0,0,0,0,0,0.19,0.44,0,0.56,0.15,0.01,0.61,0,0.31,0.08,0,0,0.5,0.34,0.17,0.25,0.2,0.28,0.38,0.55,0.26,0,0.29,0.03,0.5,0,0.01,0,0.13,0,0.12,0.19,0.38,0.54,0.52,0.07,0.13,0.6,0.11,0.17,0.41,0.38,0.34,0.02,0.03,0,0,0.24,0.54,0.44,0.01,0.51,0.02,0.5,0.02,0.5,0.5,0,0.28,0.21,0.19,0,0.84,0.39,0.02,0.01,0,0.42,0.1,0.1,0.23,0,0.55,0,0.01,0.02,0.6,0.54,0.43,0.78,0.43,0.03,0.02,0.5,0.14,0.07,0.02,0.01,1,0,0.32,0.19,0.47,0.23,0.05,0.01,0.11,0.61,0.56,0.56,0.04,0.42,0.09,0.23,0.78,0.54,0.78,0.76,0.27,0.03,0,0.02,0.02,0,0,0.02,0,0.78,0.46,0.05,0,0.28,0.61,0.29,0.2,0.25,0.01,0,0.01,0.28,0.55,0.4,0.31,0,0.2,0.01,0.02,0,0,0.06,0.47,0.03,0.36,0.49,0.07,0.41,0.61,0.59,0.39,0,0,0.01,0,0.49,0.13,0.39,0.33,0.33,0,0.1,0.01,0.08,0.12,0.57,0,0.83,0.09,0.02,0,0.45,0.51,0.94,0.33,0.01,0.39,0,0.45,0.07,0.03,0,0.54,0.01,0.01,0.25,0.07,0.02,0.19,0.33,0.01,0.01,0.27,0.08,0.48,0.17,0,0.19,0.11,0.72,0.38,0.01,0.22,0.37,0,0.68,0.41,0,0,0.51,0,0.42,0,0.01,0.38,0.03,0,0.35,0.02,0,0,0,0,0,0
