"db.species","col.species","x","r2","r4","r6","r7","r8","r9","r10","r11","r13","r14","r15","r17","r18","r19","r20","r21","r22","r23","r25","r26","r27","r28","r29","r32","r50","r61","r68","r74","r75","r76","r77","r78","r79","r80","r81","r88","r90","r91","r92","r93","r94","r95","r96","r97","r98","r99","r101","r102","r103","r104","r105","r106","r107","r108","r109","r110","r111","r112","r113","r114","r115","r116","r117","r121","r123","r127","r130","r132","r134","r135","r136","r139","r141","r142","r143","r144","r145","r146","r147","r149","r150","r153","r154","r156","r157","r158","r163","r166","r167","r168","r169","r170","r171","r172","r173","r174","r175","r176","r177","r178","r179","r180","r181","r182","r183","r184","r185","r186","r189","r190","r191","r192","r193","r194","r195","r196","r197","r198","r199","r202","r203","r206","r207","r208","r213","r217","r218","r219","r220","r221","r222","r223","r224","r226","r227","r251","r253","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Chalcides chalcides","Chalcides chalcides","r21",0,0,0,0,0.14,0,0,0,0,0.67,0.05,0,0,0,0,1,0.28,0,0,0,0,0.79,0.32,0.09,0,0,0,0,0.46,0.4,0.61,0,0.14,0.28,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.8,0.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,1,0,0.14,0,0.13,0,0,0,0,0,0,0,0,0.9,0,0.01,0.71,0.09,0.02,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Chalcides","Chalcides chalcides",5225173
"Chalcides ocellatus","Chalcides ocellatus","r22",0.03,0.34,0,0.07,0.28,0,0.07,0.07,0.07,0.14,0.1,0,0.02,0,0,0.54,1,0,0,0,0.03,0.17,0,0.45,0,0,0,0,0.26,0.1,0.17,0,0.49,0.17,0,0.13,0.13,0.1,0,0,0,0,0,0,0,0,0.07,0.89,0.08,0,0.33,0.55,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0.02,0,0,0.36,0.08,0.17,0.13,0.02,0.08,0,0,0.06,0,0.33,0,0.26,0,0.1,0.1,0.06,0.08,0.27,0,0,0.21,0,0,0,0,0,0,0.2,0.07,0,0,0.54,0.24,0.28,0,0.26,0,0,0.25,0,0,0,0,0,0.71,0.45,0.1,0.48,0.17,0.28,0,0.27,0.18,0.26,0,0,0,0,0.14,0,0.02,0.07,0,0,0.01,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Chalcides","Chalcides ocellatus",5225137
"Chalcides sexlineatus","Chalcides sexlineatus","r23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Chalcides","Chalcides sexlineatus",5225153
"Chalcides striatus","Chalcides striatus","r25",0,0,0.54,0,0,0,0,0,0,0.55,0,0.76,0,0.59,0,0,0,0,1,0,0.05,0.43,0.91,0,0,0,0,0,0,0.13,0,0.87,0,0.22,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.36,0.63,0,0,0.1,0,0,0,0.01,0,0,0,0,0.05,0,0.19,0,0.92,0,0,0.19,0,0,0,0,0,0,0.51,0,0,0,0.9,0.37,0,0,0.32,0,0,0,0,0.05,0,0,0,0,0.77,0,0,0,0.2,0,0,0,0,0,0,0.12,0,0.7,0.79,0,0,0,0,0,0,0.82,0,0,0.01,0,0,0,0,0,0.16,0,0.55,0.05,0,0,0,0,0,0,0,0,0,0,0.22,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Chalcides","Chalcides striatus",5225191
"Chalcides viridanus","Chalcides viridanus","r26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.65,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.72,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Chalcides","Chalcides viridanus",5225148
"Chamaeleo africanus","Chamaeleo africanus","r220",0,0.88,0,0,0,0,0.88,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0.9,0,0.79,0.39,0,0.61,0,0,0,0,0,0,0,0,0,0,0.9,0.72,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0.79,0,0.72,0,0,0.58,0.71,0,0.88,0,0,0,0,0,0,0,0,0,0.23,0.9,0,0,0,0.9,0,0,0,0,0,1,0,0,0,0,0,0.13,0.79,0,0.89,0,0.9,0,0.59,0.7,0,0,0,0,0,0.11,1,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo africanus",2448980
"Chamaeleo chamaeleon","Chamaeleo chamaeleon","r27",0.1,0.01,0.54,0.04,0,0,0,0,0,0,0,0.89,0.01,0.68,0,0,0.08,0,0.8,0,1,0.05,0.81,0.11,0,0,0.02,0,0,0,0,0.89,0.02,0.32,0,0.01,0,0.11,0,0,0,0,0,0,0,0,0,0.96,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.89,0,0,0.04,0.01,0.1,0,0.09,0.01,0.1,0.87,0,0,0,1,0.45,0.05,0.02,0.29,0,0,0.06,0.02,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0.42,0,0.73,0.89,0.02,0,0,0,0,0,0.89,0.11,0.05,0,0,0,0,0.05,0,0,0,0.44,0,0,0.01,0,0.01,0.04,0,0,0.01,0,0,0.27,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo chamaeleon",2449051
"Coronella austriaca","Coronella austriaca","r28",0,0.07,0.06,0,0,0,0,0,0,0.92,0,0.07,0,0.07,0,0.04,0,0,0.06,0,0,1,0.19,0.03,0.02,0,0,0,0.03,0.46,0.05,0.08,0.02,0.18,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.06,0.04,0,0,0.22,0,0,0,0,0,0.01,0,0.01,0.39,0,0.21,0,0.1,0,0,0.05,0.04,0,0.19,0,0,0,0.02,0,0,0,0.11,0.05,0.01,0,0.08,0.1,0,0,0.03,0.02,0,0.01,0,0,0.13,0,0.01,0,0.49,0,0,0,0.09,0.07,0,0,0,0.07,0.09,0.04,0,0,0,0,0,0.12,0.01,0.04,0.12,0,0.01,0,0.01,0.07,0.21,0.57,0.05,0.01,0,0.02,0,0,0,0,0,0.06,0,0,0.05,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Coronella","Coronella austriaca",5959617
"Coronella girondica","Coronella girondica","r29",0,0,0.39,0,0,0,0,0,0,0.68,0,0.52,0,0.46,0,0.06,0,0,0.43,0,0.02,0.64,1,0,0,0,0,0,0,0.3,0.06,0.58,0,0.25,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.25,0.38,0,0,0.27,0,0,0,0,0,0,0,0.01,0.05,0,0.23,0,0.62,0,0,0.17,0,0,0,0,0,0,0.26,0,0,0,0.61,0.28,0,0,0.28,0.06,0,0,0,0.06,0,0,0,0,0.69,0,0,0,0.37,0,0,0,0.13,0,0,0.04,0,0.44,0.59,0,0,0,0,0,0,0.59,0,0.01,0.07,0,0,0,0,0,0.3,0.02,0.38,0.02,0,0,0,0,0,0,0,0,0,0,0.26,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Coronella","Coronella girondica",5959645
"Cyrtopodion kotschyi","Mediodactylus kotschyi","r32",0.01,0.62,0,0.03,0,0,0.13,0.04,0.13,0.52,0,0,0.01,0,0,0.08,0.2,0,0,0,0.02,0.55,0,1,0.05,0,0.02,0,0.08,0.53,0.29,0,0.62,0.26,0,0.32,0,0.06,0,0,0,0,0,0,0,0,0.12,0.6,0,0,0.3,0.08,0,0,0,0,0,0,0,0,0.2,0,0.08,0,0,0.01,0,0,0.71,0.04,0.59,0.16,0.01,0.04,0,0,0.03,0,0.53,0,0.38,0.03,0,0.3,0.13,0.12,0.56,0,0,0.34,0,0,0,0,0,0,0.68,0.12,0,0,0.08,0.72,0,0,0,0,0,0.63,0,0,0,0,0,0.22,0.52,0.52,0.81,0,0.38,0,0.37,0.4,0.08,0.11,0,0,0,0.35,0.02,0.01,0.04,0,0,0.37,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","Mediodactylus","Mediodactylus kotschyi",2447858
