"db.species","col.species","x","r2","r4","r6","r7","r8","r9","r10","r11","r13","r14","r15","r17","r18","r19","r20","r21","r22","r23","r25","r26","r27","r28","r29","r32","r50","r61","r68","r74","r75","r76","r77","r78","r79","r80","r81","r88","r90","r91","r92","r93","r94","r95","r96","r97","r98","r99","r101","r102","r103","r104","r105","r106","r107","r108","r109","r110","r111","r112","r113","r114","r115","r116","r117","r121","r123","r127","r130","r132","r134","r135","r136","r139","r141","r142","r143","r144","r145","r146","r147","r149","r150","r153","r154","r156","r157","r158","r163","r166","r167","r168","r169","r170","r171","r172","r173","r174","r175","r176","r177","r178","r179","r180","r181","r182","r183","r184","r185","r186","r189","r190","r191","r192","r193","r194","r195","r196","r197","r198","r199","r202","r203","r206","r207","r208","r213","r217","r218","r219","r220","r221","r222","r223","r224","r226","r227","r251","r253","check","kingdom","phylum","class","order","family","genus","gbif.species","gbif.species.id"
"Darevskia praticola","Darevskia praticola","r50",0,0.63,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0.17,1,0,0,0,0,0.93,0,0,0,0.28,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.33,0,1,0,0,0,0,0,0,0,0.04,0,0.06,0,0,0.29,0,0,0.06,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0.88,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0.24,0.92,0,0,0,0.01,0.78,0,0.47,0,0,0,0.32,0,0,0,0,0,0.72,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Darevskia","Darevskia praticola",2468799
"Dolichophis caspius","Dolichophis caspius","r219",0,0.65,0,0,0,0,0.02,0.05,0.02,0.66,0,0,0.01,0,0,0,0.14,0,0,0,0,0.67,0,0.76,0.19,0,0.04,0,0,0.76,0.13,0,0.54,0.12,0.07,0.51,0,0.02,0,0,0,0,0,0,0,0,0.02,0.44,0,0,0.22,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0.68,0,0.9,0.14,0.01,0,0,0,0,0,0.5,0,0.31,0.05,0,0.32,0.11,0.12,0.59,0,0,0.44,0,0,0,0,0,0,0.79,0.02,0,0,0,0.82,0,0,0,0,0,0.63,0,0,0,0,0,0.02,0.45,0.68,0.8,0,0.38,0,0.31,0.82,0,0.21,0,0,0,1,0.01,0.01,0.01,0,0,0.54,0.03,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Dolichophis","Dolichophis caspius",2457224
"Dolichophis cypriensis","Dolichophis cypriensis","r104",0.54,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.81,0,1,0,0,0.46,0,1,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Dolichophis","Dolichophis cypriensis",2457221
"Dolichophis jugularis","Dolichophis jugularis","r221",0,0.69,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0.5,0,0,0,0.08,0,0,0.83,0,0,0.31,0,0,0,0,0,0.79,0.05,0,0.25,0,0.72,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.51,0,0,0.69,0,0,0.78,0.92,0,0,0,0,0,0.2,0,0.46,0.3,0,0.1,0,0.77,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0.79,0.22,0,0,0,0.03,0.56,0.17,0,0,0,0,0,0.26,0,1,0.26,0,0,0.22,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Dolichophis","Dolichophis jugularis",2457232
"Eirenis modestus","Eirenis modestus","r68",0,0.24,0,0,0,0,0,0,0,0.01,0,0,0.27,0,0,0,0.07,0,0,0,0.14,0,0,1,0,0,1,0,0,0.01,0,0,0.86,0.11,0,0.75,0,0.38,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.08,0,0,0.51,0,0.01,0.86,0.16,0,0,0,0,0,0.33,0,0.4,0.78,0,0.05,0,0.91,0.91,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,1,0.61,0.01,0,0,0.02,0.57,0.1,0,0,0,0,0,0.81,0,0.21,0.17,0,0,0.14,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Eirenis","Eirenis modestus",2455751
"Elaphe quatuorlineata","Elaphe quatuorlineata","r77",0,0.23,0,0,0,0,0.13,0.13,0.13,0.82,0,0,0,0,0,0.47,0.07,0,0,0,0,0.81,0.27,0.26,0,0,0,0,0.32,0.54,1,0,0.28,0.42,0,0.12,0,0,0,0,0,0,0,0,0,0,0.13,0.61,0,0,0.2,0.7,0,0,0,0,0,0.03,0,0,0.01,0,0.53,0,0,0,0,0,0.27,0,0.14,0.02,0,0,0,0,0,0,0.2,0,0.15,0,0,0.36,0.06,0,0.27,0,0,0.07,0,0,0,0,0.08,0,0.77,0.13,0,0,0.72,0.25,0,0,0,0,0,0.31,0,0,0,0,0,0.61,0.21,0.01,0.92,0,0.24,0,0.13,0.22,0.63,0.04,0,0,0,0.05,0.02,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe","Elaphe quatuorlineata",9197691
"Elaphe sauromates","Elaphe sauromates","r226",0,0.59,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0.37,0.19,0,0,0,0,0.97,0,0,0.13,0.34,0.04,0.13,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0.49,0,0.96,0.07,0,0,0,0,0,0,0.16,0,0.13,0.01,0,0.26,0.01,0.07,0.31,0,0,0.11,0,0,0,0,0,0,0.72,0,0,0,0,0.83,0,0,0,0,0,0.38,0,0,0,0,0,0,0.09,0.58,0.8,0,0.04,0,0.1,0.44,0,0.31,0,0,0,0.24,0,0,0,0,0,1,0.01,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Elaphe","Elaphe sauromates",2458386
"Emys orbicularis","Emys orbicularis","r80",0,0.12,0.06,0,0.03,0,0.02,0.02,0.02,0.83,0.01,0.13,0,0.1,0,0.06,0.02,0,0.12,0,0.01,0.76,0.3,0.07,0.02,0,0,0,0.03,0.55,0.12,0.14,0.05,1,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0.02,0.15,0.1,0,0.03,0.28,0,0,0,0,0,0.03,0,0,0.19,0,0.12,0,0.14,0,0,0.06,0.11,0,0.3,0.01,0,0,0.07,0,0,0,0.19,0.16,0.07,0,0.21,0.28,0.01,0.01,0.09,0.02,0,0.03,0,0,0.18,0,0.02,0,0.58,0.02,0,0,0.17,0.16,0.03,0.01,0,0.14,0.15,0.11,0,0,0,0,0,0.2,0.04,0.06,0.24,0,0.06,0,0.02,0.13,0.29,0.38,0.07,0.01,0,0.01,0,0,0,0,0,0.09,0,0,0.05,"found species on GBIF","Animalia","Chordata","Reptilia","Testudines","Emydidae","Emys","Emys orbicularis",8909809
"Emys trinacris","Emys trinacris","r198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.95,0,0,0,0,0.54,0,0,0,0,0,0,1,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.97,0,0,0,0,0,0,0,0,0.95,0,0,0.84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Testudines","Emydidae","Emys","Emys trinacris",5220531
"Eremias arguta","Eremias arguta","r81",0,0.33,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03,0,0,0,0,0,1,0,0,0,0.01,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0.12,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.05,0,0,0,0,0.31,0,0.1,0,0,0,0.71,0,0,0,0,0,1,0.3,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Eremias","Eremias arguta",2468945
"Eryx jaculus","Eryx jaculus","r88",0,0.78,0,0,0,0,0.27,0.07,0.27,0.56,0,0,0.01,0,0,0,0.18,0,0,0,0.01,0.55,0,0.98,0.07,0,0.05,0,0,0.59,0.42,0,0.79,0.17,0.02,1,0,0.02,0,0,0,0,0,0,0,0,0.28,0.65,0,0,0.49,0,0,0,0,0,0,0,0,0,0.12,0.01,0,0,0,0,0,0,0.93,0,0.64,0.19,0.01,0,0,0,0,0,0.82,0,0.49,0.06,0,0.37,0.23,0.16,0.87,0,0,0.44,0,0,0,0,0,0,0.81,0.28,0,0,0,0.93,0,0,0,0,0,0.89,0,0,0,0,0,0.17,0.72,0.53,0.91,0,0.57,0,0.51,0.93,0,0.11,0,0,0,0.72,0.05,0.01,0.01,0,0,0.41,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Boidae","Eryx","Eryx jaculus",9595248
"Euleptes europaea","Euleptes europaea","r90",0,0,0,0,0.76,0,0,0,0,0.23,0.19,0,0,0,0,0.45,0.41,0,0.14,0,0,0.13,0.23,0,0,0,0,0,0,0.23,0.04,0.14,0,0.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7,0.1,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0.19,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.21,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0.8,0,0.76,0,0,0,0.18,0,0,0,0,0,0,0.77,0,0.06,0.41,0,0.1,0,0,0,0.13,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Sphaerodactylidae","Euleptes","Euleptes europaea",2446608
"Eumeces schneideri","Eumeces schneideri","r91",0.24,0.21,0,0.58,0,0,0,0,0,0,0,0,0.19,0,0,0,0.8,0,0,0,0.28,0,0,0.99,0,0,0.13,0,0,0,0,0,0.25,0.01,0,0.11,0,1,0,0,0,0,0,0,0,0,0,0.98,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.12,0,0,0.19,0.71,0,0.93,0.17,0.7,0,0,0.48,0,0.82,0,0.46,0.13,0,0.02,0,0.74,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.98,0.05,0,0,0,0.01,0.74,0.04,0,0,0,0,0,0.13,0,0.17,0.59,0,0,0.05,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Scincidae","Eumeces","Eumeces schneideri",9032472
"Gallotia atlantica","Gallotia atlantica","r92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Gallotia","Gallotia atlantica",2468656
"Gallotia auaritae","Gallotia auaritae","r93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Gallotia","Gallotia auaritae",2468672
"Gallotia bravoana","Gallotia bravoana","r94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Gallotia","Gallotia bravoana",7872185
"Gallotia caesaris","Gallotia caesaris","r95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1,0.12,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.12,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Gallotia","Gallotia caesaris",2468663
"Gallotia galloti","Gallotia galloti","r96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Gallotia","Gallotia galloti",8682680
"Gallotia intermedia","Gallotia intermedia","r97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Gallotia","Gallotia intermedia",2468688
"Gallotia simonyi","Gallotia simonyi","r98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Gallotia","Gallotia simonyi",2468673
"Gallotia stehlini","Gallotia stehlini","r99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Gallotia","Gallotia stehlini",2468651
"Hellenolacerta graeca","Hellenolacerta graeca","r101",0,0.96,0,0,0,0,0.97,0,0.96,0.35,0,0,0,0,0,0,0.22,0,0,0,0,0.28,0,0.85,0,0,0,0,0,0.21,0.98,0,0.85,0.45,0,0.63,0,0,0,0,0,0,0,0,0,0,1,0.59,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0.85,0,0.63,0,0,0.45,0.46,0,0.96,0,0,0.08,0,0,0,0,0,0,0.61,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.51,0.85,0.04,0.99,0,0.99,0,0.63,0.73,0,0,0,0,0,0.06,0.17,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Hellenolacerta","Hellenolacerta graeca",5789567
"Hemidactylus turcicus","Hemidactylus turcicus","r102",0.01,0.14,0.25,0.01,0.05,0,0.04,0.03,0.04,0.39,0.01,0.35,0,0.3,0,0.27,0.16,0,0.32,0,0.06,0.4,0.47,0.24,0,0,0.01,0,0.15,0.21,0.27,0.42,0.22,0.23,0,0.08,0.04,0.02,0,0,0,0,0,0,0,0,0.03,1,0.4,0,0.11,0.31,0,0,0,0,0,0,0,0,0.02,0,0.28,0,0.42,0,0,0.01,0.18,0.02,0.11,0.05,0,0.02,0.32,0,0.01,0,0.59,0.21,0.12,0.01,0.17,0.14,0.05,0.04,0.16,0,0,0.1,0,0,0.32,0,0.01,0,0.33,0.03,0,0,0.31,0.14,0.05,0.09,0.04,0.25,0.42,0.17,0,0,0,0,0,0.83,0.18,0.1,0.41,0.03,0.11,0,0.11,0.1,0.25,0.01,0.25,0,0,0.08,0.01,0,0.01,0,0,0.05,0,0,0.19,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus turcicus",5221528
"Hemorrhois algirus","Hemorrhois algirus","r223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hemorrhois","Hemorrhois algirus",2459008
"Hemorrhois hippocrepis","Hemorrhois hippocrepis","r103",0,0,0.67,0,0.02,0,0,0,0,0.32,0,0.92,0,0.75,0,0.02,0.02,0,0.72,0,0.07,0.36,0.92,0,0,0,0,0,0,0,0,0.98,0,0.19,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.51,1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.1,0,0,0,0,0,0,0.68,0,0,0,0.98,0.46,0,0,0.31,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0.01,0,0,0,0.02,0,0.02,0.15,0,0.63,0.96,0,0,0,0,0,0,0.99,0,0.02,0,0,0,0,0,0,0.01,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0.41,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hemorrhois","Hemorrhois hippocrepis",2459023
"Hemorrhois nummifer","Hemorrhois nummifer","r222",0.14,0.06,0,0.76,0,0,0,0,0,0,0,0,0.1,0,0,0,0.83,0,0,0,0.15,0,0,1,0,0,0.1,0,0,0,0,0,0.1,0.01,0,0.09,0,0.96,0,0,0,0,0,0,0,0,0,0.99,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.01,0,0,0.06,0.9,0,1,0.07,0.9,0,0,0.76,0,0.96,0,0.47,0.1,0,0.02,0,0.74,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0.07,0,0,0,0.01,0.84,0.06,0,0,0,0,0,0.1,0,0.1,1,0,0,0.06,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hemorrhois","Hemorrhois nummifer",2459015
"Hierophis gemonensis","Hierophis gemonensis","r105",0,0.85,0,0,0,0,0.37,0.24,0.37,0.44,0,0,0,0,0,0,0.43,0,0,0,0,0.23,0,0.88,0,0,0,0,0,0.34,0.66,0,0.98,0.34,0,0.47,0,0,0,0,0,0,0,0,0,0,0.36,0.78,0,0,1,0.04,0,0,0,0,0,0.02,0,0,0.01,0,0.02,0,0,0,0,0,0.97,0,0.43,0.04,0,0,0,0,0,0,0.85,0,0.56,0,0,0.36,0.32,0,0.83,0,0,0.41,0,0,0,0,0.12,0,0.69,0.36,0,0,0.1,0.75,0,0,0,0,0,0.86,0,0,0,0,0,0.44,0.97,0.14,0.86,0,0.75,0,0.55,0.56,0.01,0.01,0,0,0,0.29,0.06,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hierophis","Hierophis gemonensis",2458928
"Hierophis gyarosensis","Hierophis viridiflavus","r224",0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0.84,0,0.84,0.03,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0.79,0,0.84,0,0,0.64,0,0,0,0,0,0.64,0,0,0,0,1,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hierophis","Hierophis viridiflavus",2458916
"Hierophis viridiflavus","Hierophis viridiflavus","r106",0,0,0,0,0.05,0,0,0.01,0,0.89,0.02,0,0,0,0,0.21,0.06,0,0.06,0,0,0.86,0.32,0.02,0,0,0,0,0.12,0.76,0.19,0.01,0.03,0.27,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.19,0.01,0,0,1,0,0,0,0,0,0.01,0,0,0.27,0,0.63,0,0.04,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.04,0.01,0,0,0.17,0.13,0,0,0,0,0,0,0,0,0.04,0,0.01,0,0.87,0,0,0,0.4,0,0.05,0,0.03,0,0.01,0.01,0,0,0,0,0,0.25,0,0,0.23,0.02,0,0,0,0.02,0.79,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.03,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Colubridae","Hierophis","Hierophis viridiflavus",2458916
"Iberolacerta aranica","Iberolacerta aranica","r107",0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,1,0,0.04,0,0,0,0,0,0.61,0,0.39,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta","Iberolacerta aranica",7837038
"Iberolacerta aurelioi","Iberolacerta aurelioi","r108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta","Iberolacerta aurelioi",2468520
"Iberolacerta bonnali","Iberolacerta bonnali","r109",0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0.07,0,0,0.55,0.03,0,0,0,0,0,0,0.38,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,1,0,0,0,0,0,0.46,0,0.38,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.56,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta","Iberolacerta bonnali",2468525
"Iberolacerta cyreni","Iberolacerta cyreni","r110",0,0,0.67,0,0,0,0,0,0,1,0,0.94,0,0.95,0,0,0,0,0.74,0,0,1,0.88,0,0,0,0,0,0,0,0,0.75,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75,0,0,0.99,0,0,0,0,0,0,0.15,0,0,0,0.75,0.1,0,0,0.34,0,0,0,0,0,0,0,0,0,1,0,0,0,0.36,0,0,0,0,0,0,0,0,1,0.93,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,"found species on GBIF","Animalia","Chordata","Reptilia","Squamata","Lacertidae","Iberolacerta","Iberolacerta cyreni",2468503
